           1     1.39699     1.39699 1.00708e-08
           2     1.41386     1.40543  0.00596401
           3     1.48299     1.43128   0.0214806
           4       1.592     1.47146   0.0383461
           5     1.65214      1.5076   0.0445607
           6     1.66201     1.53333   0.0439413
           7      1.7042     1.55774   0.0439236
           8      1.7123     1.57706   0.0424701
           9     1.70291     1.59104    0.039987
          10     1.67394     1.59933   0.0368374
          11     1.69566     1.60809   0.0345137
          12     1.73099     1.61833   0.0331222
          13     1.71919     1.62609   0.0314699
          14     1.70987     1.63207   0.0297856
          15     1.72039     1.63796   0.0283758
          16     1.74117     1.64441   0.0273256
          17     1.76102     1.65127   0.0265651
          18     1.73177     1.65574   0.0254629
          19      1.7194     1.65909   0.0243422
          20     1.74888     1.66358   0.0235354
          21     1.73378     1.66693   0.0226508
          22     1.73572     1.67005    0.021836
          23     1.71676     1.67208   0.0209809
          24       1.722     1.67416   0.0202095
          25      1.7728     1.67811   0.0197825
          26     1.80287     1.68291    0.019595
          27     1.76461     1.68593   0.0191015
          28     1.74747     1.68813   0.0185453
          29     1.74587     1.69012   0.0180124
          30     1.73527     1.69163   0.0174747
          31     1.78289     1.69457   0.0171572
          32     1.83517     1.69897   0.0171744
          33     1.84136     1.70328   0.0171875
          34     1.82558     1.70688   0.0170543
          35     1.77852     1.70892   0.0166894
          36     1.77292      1.7107   0.0163202
          37     1.75802     1.71198   0.0159291
          38     1.75579     1.71313   0.0155516
          39      1.7854     1.71499   0.0152628
          40     1.80699     1.71729   0.0150536
          41     1.80372      1.7194   0.0148333
          42     1.79472     1.72119   0.0145882
          43     1.79171     1.72283   0.0143408
          44     1.77867      1.7241   0.0140709
          45     1.78558     1.72546   0.0138244
          46     1.77858     1.72662    0.013572
          47     1.77051     1.72755   0.0133153
          48     1.76773     1.72839   0.0130642
          49     1.75416     1.72892   0.0128082
          50     1.76006     1.72954   0.0125672
          51     1.74934     1.72993   0.0123267
          52     1.75301     1.73037   0.0120977
          53     1.75453     1.73083    0.011878
          54     1.79052     1.73193   0.0117094
          55     1.78957     1.73298   0.0115433
          56     1.76945     1.73363   0.0113555
          57     1.73655     1.73368   0.0111564
          58     1.71012     1.73328   0.0109714
          59     1.66925     1.73219    0.010839
          60     1.67134     1.73118   0.0107057
          61     1.69524     1.73059   0.0105464
          62     1.70743     1.73021   0.0103829
