           1  -0.0340962  -0.0340962 2.96642e-10
           2  -0.0520563  -0.0430763  0.00634984
           3   -0.123254  -0.0698023   0.0222285
           4   -0.231582   -0.110247   0.0387915
           5   -0.293103   -0.146818    0.045089
           6   -0.301174   -0.172544   0.0443096
           7   -0.342565   -0.196833   0.0441375
           8   -0.347314   -0.215643   0.0424396
           9   -0.331792   -0.228549   0.0396378
          10   -0.308751   -0.236569   0.0364764
          11   -0.330297    -0.24509    0.034141
          12   -0.358466   -0.254538    0.032577
          13   -0.353941   -0.262184   0.0309555
          14   -0.356406   -0.268914   0.0294669
          15   -0.356701   -0.274767   0.0280776
          16   -0.356244   -0.279859   0.0267806
          17   -0.335422   -0.283127   0.0254039
          18   -0.312048   -0.284734   0.0240433
          19   -0.311201   -0.286127   0.0228182
          20   -0.335692   -0.288605   0.0218115
          21   -0.362791   -0.292138    0.021057
          22   -0.394866   -0.296807    0.020611
          23   -0.390268   -0.300871   0.0201115
          24   -0.409153   -0.305383   0.0197731
          25   -0.430429   -0.310385   0.0196046
          26   -0.448948   -0.315714   0.0195616
          27   -0.417964   -0.319501   0.0192001
          28   -0.391258   -0.322064   0.0186847
          29    -0.38606    -0.32427   0.0181702
          30    -0.37679   -0.326021   0.0176487
          31   -0.416288   -0.328933   0.0173179
          32   -0.406418   -0.331354   0.0169452
          33   -0.409122   -0.333711   0.0165947
          34   -0.421781   -0.336301   0.0163076
          35   -0.451489   -0.339592   0.0161703
          36   -0.446159   -0.342553   0.0159898
          37    -0.47443   -0.346117   0.0159499
          38   -0.476912   -0.349559   0.0158973
          39   -0.441416   -0.351914   0.0156631
          40   -0.444142    -0.35422   0.0154403
          41    -0.43623    -0.35622   0.0151928
          42   -0.435289   -0.358103   0.0149472
          43   -0.438434   -0.359971   0.0147159
          44   -0.430776    -0.36158   0.0144692
          45   -0.403402   -0.362509   0.0141774
          46   -0.390846   -0.363125   0.0138826
          47   -0.414145   -0.364211   0.0136296
          48   -0.422414   -0.365423   0.0133995
          49   -0.386295   -0.365849   0.0131328
          50   -0.347174   -0.365476   0.0128754
          51   -0.351586   -0.365204   0.0126259
          52   -0.334188   -0.364607   0.0123971
          53   -0.339403   -0.364132   0.0121724
          54   -0.372889   -0.364294    0.011948
          55   -0.423388   -0.365368    0.011779
          56   -0.377923   -0.365592   0.0115708
          57    -0.37913    -0.36583   0.0113702
          58   -0.411778   -0.366622   0.0112018
          59   -0.394226    -0.36709   0.0110217
          60   -0.374874    -0.36722   0.0108387
          61   -0.377568   -0.367389   0.0106624
          62   -0.386304   -0.367694   0.0104948
          63   -0.377691   -0.367853   0.0103294
          64   -0.382088   -0.368076   0.0101704
          65   -0.412355   -0.368757   0.0100367
          66   -0.410476   -0.369389  0.00990451
          67   -0.385112   -0.369624  0.00975946
          68   -0.406485   -0.370166  0.00963098
          69   -0.410554   -0.370751  0.00950917
          70   -0.412237   -0.371344  0.00939178
          71    -0.40987   -0.371886  0.00927516
