           1   -0.034223   -0.034223 1.40384e-10
           2   -0.053531   -0.043877   0.0068264
           3   -0.128777  -0.0721768   0.0235506
           4   -0.236638   -0.113292   0.0397471
           5   -0.298823   -0.150398   0.0459628
           6   -0.304944   -0.176156   0.0449439
           7   -0.339783   -0.199531   0.0441859
           8    -0.34351   -0.217528   0.0421689
           9   -0.317523   -0.228639   0.0389196
          10   -0.306094   -0.236385   0.0357901
          11   -0.316216   -0.243642   0.0332641
          12   -0.334516   -0.251215   0.0313423
          13   -0.334248   -0.257602    0.029575
          14   -0.326066   -0.262492   0.0278639
          15   -0.301929   -0.265121     0.02613
          16   -0.319949   -0.268548   0.0247206
          17    -0.31547   -0.271308     0.02342
          18   -0.322567   -0.274156   0.0222913
          19   -0.352417   -0.278275   0.0214953
          20   -0.353364   -0.282029   0.0207458
          21   -0.340387   -0.284808   0.0199432
          22   -0.361714   -0.288304   0.0193406
          23   -0.378519   -0.292226   0.0188933
          24   -0.350054   -0.294636   0.0182591
          25   -0.314962   -0.295449   0.0175468
          26   -0.321984   -0.296469   0.0169016
          27   -0.357366   -0.298725   0.0164254
          28   -0.358732   -0.300868    0.015978
          29   -0.330275   -0.301882   0.0154591
          30   -0.292548   -0.301571    0.014947
          31   -0.302206   -0.301591   0.0144648
          32   -0.324618   -0.302311   0.0140307
          33   -0.347497    -0.30368   0.0136722
          34   -0.380728   -0.305946   0.0134565
          35   -0.396641   -0.308538   0.0133192
          36   -0.402272   -0.311141   0.0132013
          37    -0.38295   -0.313082   0.0129864
          38   -0.352992   -0.314132    0.012687
          39   -0.345258    -0.31493   0.0123868
          40   -0.354063   -0.315909   0.0121157
          41   -0.367231   -0.317161   0.0118847
          42   -0.401643   -0.319172   0.0117707
          43   -0.426025   -0.321657   0.0117563
          44   -0.422035   -0.323938   0.0117084
          45   -0.452136   -0.326787   0.0117897
          46   -0.432361   -0.329082   0.0117547
          47   -0.400906    -0.33061   0.0116035
          48   -0.421258   -0.332499   0.0115144
          49   -0.421497   -0.334315   0.0114218
          50    -0.40775   -0.335784   0.0112874
          51    -0.40881   -0.337216   0.0111565
          52   -0.391433   -0.338258   0.0109906
          53   -0.367669   -0.338813   0.0107972
          54    -0.35471   -0.339108   0.0106012
          55   -0.352488   -0.339351   0.0104113
          56   -0.375011   -0.339988   0.0102448
          57   -0.410547   -0.341226   0.0101396
          58   -0.405863    -0.34234   0.0100258
          59   -0.407902   -0.343451   0.0099173
          60   -0.409651   -0.344555   0.0098132
          61   -0.423945   -0.345856  0.00973825
          62   -0.456758   -0.347645  0.00974407
          63   -0.472078    -0.34962  0.00978754
          64   -0.452337   -0.351225  0.00976531
          65   -0.453137   -0.352793  0.00974013
          66   -0.442935   -0.354159  0.00968783
          67   -0.436289   -0.355384  0.00962048
          68   -0.428029   -0.356453  0.00953813
          69   -0.463732   -0.358007  0.00952577
          70   -0.445201   -0.359253  0.00947078
          71    -0.38905   -0.359673  0.00934668
          72   -0.385765   -0.360035  0.00922389
          73   -0.363719   -0.360086  0.00909768
          74   -0.361053   -0.360099  0.00897474
          75   -0.381657   -0.360386  0.00885968
          76   -0.374084   -0.360566  0.00874494
          77   -0.370082    -0.36069  0.00863224
          78   -0.403726   -0.361242  0.00853919
          79   -0.444046    -0.36229  0.00849518
          80   -0.479101    -0.36375  0.00851355
          81   -0.461078   -0.364952  0.00849282
          82   -0.457016   -0.366074  0.00846313
          83   -0.506097   -0.367761  0.00852765
          84   -0.505379     -0.3694  0.00858206
          85    -0.44187   -0.370252  0.00852334
          86   -0.414021   -0.370761  0.00843941
          87   -0.443792   -0.371601  0.00838405
          88   -0.453278   -0.372529     0.00834
          89   -0.425669   -0.373126  0.00826763
          90   -0.403634   -0.373465  0.00818272
          91    -0.40347   -0.373794  0.00809944
          92   -0.414285   -0.374235  0.00802335
          93   -0.419877   -0.374725  0.00795207
          94   -0.417042   -0.375176  0.00788021
          95   -0.409361   -0.375535  0.00780547
          96   -0.427601   -0.376078  0.00774298
          97   -0.447588   -0.376815  0.00769817
          98   -0.435633   -0.377415  0.00764298
          99   -0.445078   -0.378099  0.00759628
         100   -0.444067   -0.378758  0.00754891
         101   -0.396426   -0.378933  0.00747619
         102   -0.394803   -0.379089  0.00740451
         103   -0.439331   -0.379674  0.00735569
         104   -0.413518   -0.379999  0.00729216
         105   -0.402512   -0.380214  0.00722586
         106   -0.448948   -0.380862  0.00718672
         107   -0.494289   -0.381922  0.00719732
         108   -0.474027   -0.382775  0.00718102
         109   -0.440925   -0.383308  0.00713493
         110   -0.433867   -0.383768  0.00708486
         111   -0.442211   -0.384294  0.00704057
         112   -0.456325   -0.384938  0.00700702
         113   -0.470587   -0.385696  0.00698588
         114   -0.444598   -0.386212  0.00694368
         115    -0.40575   -0.386382  0.00688538
         116   -0.386079    -0.38638  0.00682602
         117   -0.383633   -0.386356  0.00676772
         118   -0.399919   -0.386471  0.00671135
         119   -0.406708   -0.386641   0.0066571
         120   -0.422024   -0.386936  0.00660815
         121   -0.418719   -0.387199  0.00655876
         122    -0.42743   -0.387528  0.00651328
         123   -0.423599   -0.387822  0.00646693
         124   -0.366191   -0.387647  0.00641713
         125   -0.317583   -0.387087  0.00639022
         126   -0.319471    -0.38655    0.006362
         127   -0.355937   -0.386309  0.00631647
         128    -0.37571   -0.386226  0.00626767
         129   -0.376993   -0.386155  0.00621949
         130   -0.386032   -0.386154  0.00617165
         131   -0.410325   -0.386338  0.00612729
         132   -0.411133   -0.386526  0.00608375
         133   -0.448707   -0.386994  0.00605595
         134    -0.47914   -0.387681  0.00604967
         135   -0.471954   -0.388305  0.00603698
         136   -0.427345   -0.388592  0.00599941
         137   -0.408783    -0.38874  0.00595743
         138   -0.430264   -0.389041  0.00592185
         139   -0.408726   -0.389182  0.00588094
         140   -0.377325   -0.389098  0.00583954
         141   -0.432123   -0.389403   0.0058061
         142   -0.485262   -0.390078  0.00580432
         143    -0.47719   -0.390687  0.00579561
         144    -0.46694   -0.391217   0.0057795
         145   -0.466527   -0.391736  0.00576294
         146   -0.442455   -0.392083  0.00573392
         147   -0.461393   -0.392555  0.00571427
         148   -0.514916   -0.393382  0.00573516
         149   -0.490515   -0.394034   0.0057336
         150   -0.480373   -0.394609  0.00572419
         151   -0.453731   -0.395001  0.00569966
         152   -0.425533   -0.395202   0.0056657
         153   -0.447305   -0.395542  0.00563889
         154   -0.505049   -0.396253  0.00564693
         155   -0.483618   -0.396817  0.00563856
         156   -0.421819   -0.396977   0.0056047
         157   -0.433728   -0.397211  0.00557388
         158   -0.456901   -0.397589  0.00555139
         159     -0.4748   -0.398075  0.00553768
         160   -0.472159   -0.398538  0.00552239
         161   -0.422398   -0.398686  0.00549008
         162   -0.384549   -0.398599  0.00545688
         163   -0.375191   -0.398455  0.00542529
         164   -0.387798    -0.39839   0.0053926
         165   -0.410966   -0.398466  0.00536046
         166   -0.406988   -0.398518  0.00532841
         167   -0.414568   -0.398614  0.00529737
         168   -0.442161   -0.398873  0.00527218
         169   -0.418206   -0.398987  0.00524222
         170   -0.409595    -0.39905  0.00521176
         171   -0.378259   -0.398928   0.0051827
         172   -0.384914   -0.398847  0.00515321
         173   -0.420984   -0.398975  0.00512501
         174   -0.417828   -0.399083   0.0050967
         175   -0.424256   -0.399227   0.0050696
         176   -0.428638   -0.399394  0.00504355
         177   -0.365864   -0.399204  0.00501861
         178   -0.358336   -0.398975  0.00499567
         179   -0.384706   -0.398895   0.0049684
         180   -0.366764   -0.398717    0.004944
         181   -0.336409   -0.398372  0.00492865
         182   -0.353749   -0.398127  0.00490767
         183   -0.360956   -0.397924  0.00488505
         184   -0.365822    -0.39775  0.00486162
         185   -0.345587   -0.397468  0.00484351
         186   -0.314165    -0.39702  0.00483813
         187   -0.339594   -0.396713  0.00482199
         188   -0.353199   -0.396481   0.0048019
         189   -0.365757   -0.396319  0.00477924
         190   -0.372854   -0.396195  0.00475568
         191   -0.390486   -0.396165  0.00473088
         192   -0.417668   -0.396277  0.00470756
         193   -0.431108   -0.396458  0.00468663
         194   -0.387025   -0.396409  0.00466272
         195   -0.373518   -0.396292  0.00464029
         196   -0.375214   -0.396184  0.00461786
         197   -0.367829    -0.39604  0.00459666
         198   -0.352517    -0.39582   0.0045787
         199   -0.340967   -0.395545  0.00456398
         200   -0.353919   -0.395337   0.0045459
         201   -0.343561   -0.395079  0.00453058
         202   -0.369575   -0.394953  0.00450991
         203   -0.349809    -0.39473  0.00449317
         204   -0.339563    -0.39446  0.00447928
         205    -0.36553   -0.394319  0.00445965
         206   -0.393642   -0.394316    0.004438
         207   -0.445629   -0.394563  0.00442348
         208   -0.414981   -0.394662   0.0044033
         209   -0.343473   -0.394417  0.00438904
         210   -0.330633   -0.394113  0.00437864
         211   -0.315584   -0.393741  0.00437367
         212   -0.300556   -0.393301  0.00437508
         213     -0.3021   -0.392873  0.00437544
         214   -0.315893   -0.392513  0.00436975
         215   -0.304823   -0.392105  0.00436842
         216    -0.25402   -0.391466  0.00439473
         217   -0.270674    -0.39091  0.00440959
         218    -0.31615   -0.390567  0.00440267
         219   -0.322607   -0.390256  0.00439349
         220   -0.337902   -0.390018  0.00437996
         221   -0.342319   -0.389803  0.00436546
         222   -0.341129   -0.389583   0.0043513
         223   -0.348689     -0.3894  0.00433565
         224   -0.347436   -0.389213  0.00432034
         225   -0.365058   -0.389105  0.00430247
         226   -0.394987   -0.389131  0.00428351
         227   -0.429327   -0.389308   0.0042683
         228   -0.426108    -0.38947  0.00425263
         229   -0.383164   -0.389442  0.00423415
         230   -0.347573    -0.38926  0.00421965
         231   -0.336364   -0.389031  0.00420759
         232   -0.345431   -0.388843  0.00419365
         233   -0.322334   -0.388558  0.00418535
         234   -0.319773   -0.388264  0.00417778
         235   -0.323057   -0.387986   0.0041692
         236    -0.37076   -0.387913  0.00415218
         237   -0.407267   -0.387995  0.00413546
         238   -0.422551    -0.38814  0.00412063
         239   -0.407799   -0.388222  0.00410421
         240   -0.395748   -0.388254  0.00408723
         241   -0.379174   -0.388216  0.00407044
         242   -0.358626   -0.388094  0.00405546
         243   -0.366376   -0.388004  0.00403976
         244   -0.357371   -0.387879  0.00402515
         245   -0.349825   -0.387724  0.00401172
         246   -0.333831   -0.387505  0.00400139
         247   -0.365003   -0.387413  0.00398622
         248   -0.385966   -0.387408  0.00397015
         249   -0.375429   -0.387359   0.0039545
         250   -0.373221   -0.387303  0.00393909
         251    -0.35997   -0.387194   0.0039249
         252   -0.388707     -0.3872  0.00390933
         253   -0.397696   -0.387242   0.0038941
         254   -0.382468   -0.387223  0.00387881
         255   -0.367251   -0.387144  0.00386439
         256   -0.384797   -0.387135  0.00384931
         257   -0.385892    -0.38713  0.00383433
         258   -0.405043     -0.3872   0.0038201
         259   -0.407543   -0.387278  0.00380616
         260   -0.417934   -0.387396  0.00379334
         261   -0.412678   -0.387493  0.00378005
         262   -0.443303   -0.387706  0.00377161
         263   -0.444807   -0.387923  0.00376352
         264   -0.418874   -0.388041  0.00375109
         265   -0.407449   -0.388114  0.00373765
         266   -0.392562    -0.38813  0.00372363
         267   -0.397461   -0.388165  0.00370985
         268   -0.440491   -0.388361  0.00370114
         269   -0.443435   -0.388565  0.00369304
