           1    0.941344    0.941344 2.48693e-09
           2    0.952763    0.947054  0.00403732
           3    0.999442    0.964516     0.01451
           4     1.07189     0.99136   0.0256687
           5     1.11243     1.01557   0.0298455
           6     1.11842     1.03272   0.0293842
           7     1.14635     1.04895   0.0293295
           8     1.15053     1.06165   0.0282785
           9     1.14218     1.07059   0.0265145
          10     1.12497     1.07603   0.0244141
          11     1.14075     1.08192   0.0228927
          12     1.16048     1.08846   0.0219011
          13     1.15524      1.0936   0.0208101
          14     1.15375      1.0979   0.0197622
          15     1.15672     1.10182   0.0188298
          16      1.1564     1.10523   0.0179593
          17     1.15415     1.10811   0.0171319
          18     1.15604     1.11077   0.0163858
          19     1.16622     1.11369   0.0157811
          20     1.15746     1.11588    0.015143
          21     1.15288     1.11764   0.0145241
          22     1.16861     1.11996   0.0140475
          23     1.16845     1.12206    0.013594
          24     1.16947     1.12404   0.0131703
          25     1.14973     1.12507   0.0126836
          26     1.13669     1.12551   0.0122036
          27     1.13029     1.12569   0.0117529
          28     1.16202     1.12699   0.0114045
          29     1.19041     1.12917    0.011219
          30     1.18648     1.13108   0.0110065
          31     1.17403     1.13247   0.0107382
          32     1.17065     1.13366   0.0104688
          33     1.15442     1.13429   0.0101704
          34      1.1266     1.13407   0.0098738
          35     1.12261     1.13374  0.00959712
          36     1.15028      1.1342  0.00934152
          37     1.15762     1.13483  0.00911047
          38     1.13791     1.13491  0.00887108
          39     1.11576     1.13442   0.0086572
          40     1.13265     1.13438  0.00844088
          41     1.13991     1.13451  0.00823608
          42     1.12551      1.1343  0.00804278
          43      1.1178     1.13391  0.00786488
          44     1.12712     1.13376  0.00768765
          45      1.1471     1.13406  0.00752253
          46     1.15611     1.13454  0.00737425
          47      1.1424      1.1347  0.00721925
          48     1.14466     1.13491  0.00707183
          49     1.15697     1.13536  0.00694182
          50     1.17147     1.13608  0.00684045
          51     1.18577     1.13706  0.00677534
          52     1.17966     1.13788  0.00669439
          53     1.17738     1.13862  0.00660945
          54     1.17638     1.13932  0.00652393
          55     1.17092      1.1399  0.00643056
          56      1.1743     1.14051  0.00634501
          57     1.18279     1.14125   0.0062769
          58     1.19423     1.14216  0.00623477
          59     1.20004     1.14315  0.00620579
          60      1.1729     1.14364  0.00612214
          61     1.17484     1.14415  0.00604311
          62     1.20598     1.14515  0.00602734
          63     1.23024      1.1465  0.00608111
          64     1.21434     1.14756  0.00607778
          65     1.21421     1.14859  0.00607014
          66     1.22217      1.1497   0.0060797
          67     1.25242     1.15123  0.00617925
          68     1.25253     1.15272  0.00626535
          69     1.22627     1.15379  0.00626455
          70     1.20982     1.15459  0.00622598
          71     1.20888     1.15535  0.00618507
          72     1.18935     1.15583  0.00611716
          73      1.1689     1.15601  0.00603598
          74      1.1836     1.15638  0.00596592
          75     1.19731     1.15692  0.00591129
          76     1.21656     1.15771  0.00588536
          77     1.23465     1.15871  0.00589313
          78     1.22376     1.15954   0.0058763
          79     1.20073     1.16006    0.005825
          80     1.19272     1.16047  0.00576648
          81     1.19586     1.16091  0.00571181
          82        1.18     1.16114   0.0056469
          83     1.17251     1.16128  0.00558052
          84     1.19382     1.16167  0.00552752
          85     1.18842     1.16198  0.00547144
          86     1.19113     1.16232  0.00541831
          87     1.19338     1.16268  0.00536778
          88     1.18809     1.16297  0.00531455
          89     1.18761     1.16324  0.00526204
