           1     0.95136     0.95136 6.46209e-09
           2    0.962954    0.957157   0.0040991
           3     1.01021    0.974842   0.0146966
           4     1.08245     1.00174   0.0257739
           5     1.12342     1.02608   0.0299817
           6     1.12887     1.04321   0.0294759
           7     1.15646     1.05939   0.0293715
           8     1.15965     1.07192   0.0282474
           9     1.14934     1.08053   0.0263862
          10     1.13393     1.08587   0.0242821
          11     1.14827     1.09154   0.0227277
          12     1.16706     1.09783   0.0216876
          13      1.1641     1.10293   0.0206097
          14     1.16569     1.10741   0.0196191
          15     1.16592     1.11131   0.0186949
          16     1.16556      1.1147   0.0178312
          17     1.15175     1.11688    0.016915
          18     1.13603     1.11795   0.0160087
          19     1.13556     1.11887   0.0151929
          20     1.15186     1.12052   0.0145225
          21     1.16997     1.12288   0.0140206
          22     1.19139     1.12599   0.0137247
          23     1.18832      1.1287   0.0133928
          24     1.20082     1.13171   0.0131676
          25      1.2151     1.13504   0.0130566
          26     1.22751      1.1386   0.0130298
          27     1.20678     1.14112   0.0127895
          28     1.18897     1.14283   0.0124464
          29      1.1855      1.1443   0.0121039
          30     1.17925     1.14547   0.0117563
          31     1.20549     1.14741   0.0115354
          32     1.19906     1.14902   0.0112873
          33     1.20083     1.15059   0.0110539
          34     1.20922     1.15231   0.0108625
          35     1.22909     1.15451   0.0107713
          36     1.22547     1.15648   0.0106509
          37      1.2443     1.15885   0.0106242
          38       1.246     1.16115   0.0105893
          39     1.22238     1.16272   0.0104335
          40     1.22405     1.16425   0.0102847
          41     1.21888     1.16558   0.0101198
          42     1.21825     1.16684  0.00995626
          43     1.22028     1.16808    0.009802
          44     1.21528     1.16915  0.00963775
          45     1.19697     1.16977  0.00944339
          46     1.18869     1.17018  0.00924705
          47     1.20414      1.1709  0.00907848
          48     1.20977     1.17171  0.00892538
          49     1.18568       1.172  0.00874778
          50     1.15962     1.17175  0.00857632
          51     1.16257     1.17157  0.00841005
          52     1.15094     1.17117  0.00825767
          53      1.1544     1.17086  0.00810793
          54     1.17666     1.17096   0.0079585
          55     1.21041     1.17168  0.00784604
          56     1.18014     1.17183  0.00770738
          57     1.18088     1.17199   0.0075738
          58     1.20266     1.17252  0.00746165
          59     1.19105     1.17283  0.00734179
          60     1.17815     1.17292  0.00721996
          61     1.17983     1.17304  0.00710249
          62     1.18576     1.17324  0.00699089
          63     1.17999     1.17335  0.00688075
          64     1.18286      1.1735  0.00677484
          65     1.20302     1.17395  0.00668582
          66     1.20181     1.17437  0.00659783
          67     1.18491     1.17453  0.00650123
          68      1.1991     1.17489  0.00641565
          69     1.20186     1.17528  0.00633456
          70     1.20297     1.17568  0.00625641
          71     1.20136     1.17604  0.00617874
          72     1.20072     1.17638  0.00610243
          73     1.21345     1.17689  0.00603993
          74     1.21714     1.17743  0.00598275
          75      1.2083     1.17785  0.00591712
          76     1.19415     1.17806  0.00584315
          77     1.16911     1.17794  0.00576842
          78      1.1733     1.17788  0.00569477
          79     1.18419     1.17796  0.00562324
          80     1.19012     1.17812  0.00555501
          81     1.20038     1.17839  0.00549322
          82     1.19382     1.17858  0.00542945
          83     1.16267     1.17839  0.00536742
          84     1.14588       1.178  0.00531746
          85     1.15297     1.17771  0.00526305
          86     1.17296     1.17765  0.00520214
          87     1.18742     1.17776  0.00514356
          88     1.18567     1.17785  0.00508589
          89     1.17919     1.17787  0.00502877
          90     1.19761     1.17809  0.00497768
          91     1.22301     1.17858  0.00494739
          92     1.21453     1.17897  0.00490902
          93     1.20786     1.17928  0.00486605
          94     1.20059     1.17951  0.00481956
          95     1.19786      1.1797   0.0047727
          96     1.21296     1.18005  0.00473554
          97     1.22173     1.18048  0.00470618
          98     1.20862     1.18077  0.00466691
          99     1.18642     1.18082  0.00462012
         100     1.19377     1.18095  0.00457573
         101     1.18699     1.18101  0.00453082
         102     1.18555     1.18106  0.00448662
         103     1.18817     1.18113  0.00444359
         104     1.19461     1.18126  0.00440275
         105     1.20116     1.18144   0.0043649
         106     1.18775      1.1815  0.00432413
         107     1.18543     1.18154  0.00428387
         108     1.19329     1.18165  0.00424559
         109     1.19814      1.1818  0.00420933
         110     1.20146     1.18198  0.00417486
         111     1.20578     1.18219  0.00414275
         112     1.19458     1.18231  0.00410724
         113     1.17006      1.1822  0.00407232
         114     1.17088      1.1821  0.00403781
         115     1.17679     1.18205  0.00400296
         116     1.18398     1.18207  0.00396849
         117     1.18154     1.18206  0.00393457
         118     1.20208     1.18223  0.00390488
         119     1.20588     1.18243  0.00387712
         120     1.20213      1.1826  0.00384828
         121     1.22023     1.18291  0.00382903
         122     1.22127     1.18322  0.00381053
         123     1.23132     1.18361  0.00379956
         124     1.21475     1.18386  0.00377721
         125     1.20682     1.18405  0.00375145
         126     1.22761     1.18439  0.00373758
         127     1.21913     1.18467  0.00371814
         128     1.21268     1.18489  0.00369553
         129     1.18225     1.18486  0.00366694
         130     1.17748     1.18481  0.00363917
         131     1.18124     1.18478  0.00361149
         132     1.17511     1.18471  0.00358488
         133     1.17737     1.18465  0.00355835
         134     1.19467     1.18473  0.00353258
         135     1.20112     1.18485   0.0035085
         136      1.2119     1.18505  0.00348833
         137     1.19511     1.18512  0.00346364
         138     1.20431     1.18526  0.00344133
         139     1.20941     1.18543  0.00342096
         140     1.20438     1.18557   0.0033992
         141     1.21585     1.18578  0.00338187
         142     1.22196     1.18604  0.00336764
         143     1.19985     1.18614  0.00334547
         144     1.20721     1.18628  0.00332544
         145     1.19633     1.18635  0.00330323
         146     1.18294     1.18633  0.00328068
         147     1.19172     1.18636  0.00325857
         148     1.19629     1.18643  0.00323724
         149     1.20132     1.18653  0.00321706
         150     1.20062     1.18662  0.00319698
         151     1.18201     1.18659  0.00317596
         152     1.15406     1.18638  0.00316227
         153     1.15212     1.18616  0.00314952
         154     1.18059     1.18612  0.00312927
         155     1.20614     1.18625  0.00311175
         156     1.20176     1.18635  0.00309339
         157     1.18907     1.18637  0.00307373
         158     1.17936     1.18632   0.0030546
         159     1.17581     1.18626   0.0030361
         160     1.17237     1.18617  0.00301837
         161     1.14839     1.18593  0.00300873
         162     1.15368     1.18574  0.00299673
         163     1.17662     1.18568  0.00297887
         164     1.18908      1.1857  0.00296078
         165     1.17058     1.18561  0.00294425
         166     1.15893     1.18545   0.0029309
         167      1.1739     1.18538  0.00291416
         168     1.17164      1.1853  0.00289797
         169     1.16431     1.18517  0.00288348
         170     1.15534       1.185  0.00287185
         171     1.14815     1.18478  0.00286313
         172      1.1478     1.18457  0.00285454
         173     1.16406     1.18445   0.0028405
         174      1.1729     1.18438  0.00282495
         175     1.18392     1.18438  0.00280881
         176     1.20954     1.18452  0.00279649
         177     1.21043     1.18467  0.00278452
         178     1.19233     1.18471  0.00276921
         179     1.17975     1.18468  0.00275388
         180     1.15305     1.18451  0.00274418
         181     1.15124     1.18432  0.00273516
         182     1.15745     1.18418  0.00272412
         183     1.15435     1.18401   0.0027141
         184     1.15461     1.18385  0.00270405
         185     1.16094     1.18373  0.00269227
         186     1.17175     1.18367  0.00267857
         187     1.16688     1.18358  0.00266575
         188     1.16308     1.18347  0.00265379
         189     1.16511     1.18337  0.00264153
         190     1.17018      1.1833  0.00262854
         191     1.17446     1.18325  0.00261518
         192     1.17792     1.18323  0.00260171
         193     1.16759     1.18315  0.00258949
         194     1.15843     1.18302  0.00257928
         195     1.14406     1.18282  0.00257378
         196     1.14753     1.18264  0.00256693
         197     1.15649     1.18251  0.00255733
         198     1.16543     1.18242  0.00254587
         199     1.17933      1.1824  0.00253312
         200      1.1765     1.18237  0.00252063
         201     1.18481     1.18239  0.00250812
         202     1.18455      1.1824  0.00249573
         203     1.19759     1.18247  0.00248455
         204     1.20105     1.18256  0.00247404
         205     1.18995      1.1826  0.00246224
         206     1.22922     1.18282  0.00246066
         207     1.24451     1.18312  0.00246675
         208     1.22089      1.1833  0.00246157
         209     1.22734     1.18352  0.00245879
         210     1.24158     1.18379  0.00246258
         211     1.23768     1.18405  0.00246412
         212     1.20826     1.18416  0.00245514
         213     1.17802     1.18413  0.00244378
         214       1.155       1.184  0.00243615
         215     1.14168      1.1838  0.00243276
         216     1.15118     1.18365  0.00242618
         217     1.15057      1.1835  0.00241978
         218       1.148     1.18333  0.00241415
         219     1.15721     1.18321  0.00240607
         220     1.16485     1.18313  0.00239658
         221     1.18246     1.18313  0.00238574
         222     1.17222     1.18308   0.0023755
         223     1.15709     1.18296   0.0023677
         224     1.15486     1.18284  0.00236046
         225      1.1572     1.18272  0.00235271
         226     1.17823      1.1827  0.00234239
         227     1.21145     1.18283  0.00233549
         228      1.2121     1.18296  0.00232877
         229     1.19476     1.18301  0.00231917
         230     1.17919     1.18299  0.00230915
         231     1.17457     1.18296  0.00229944
         232     1.17583     1.18293  0.00228973
         233     1.18838     1.18295  0.00228003
         234      1.1725      1.1829  0.00227072
         235     1.18086      1.1829  0.00226107
         236     1.19857     1.18296  0.00225247
         237     1.19329     1.18301  0.00224339
         238     1.17714     1.18298   0.0022341
         239      1.2003     1.18305  0.00222592
         240     1.20955     1.18316  0.00221938
         241     1.18289     1.18316  0.00221018
         242     1.18643     1.18318  0.00220108
         243     1.19734     1.18323   0.0021928
         244     1.18826     1.18325  0.00218391
         245      1.1799     1.18324  0.00217504
         246     1.19257     1.18328  0.00216653
         247     1.18955      1.1833   0.0021579
         248     1.17159     1.18326  0.00214972
         249     1.18756     1.18327  0.00214115
         250     1.20465     1.18336   0.0021343
         251     1.19433      1.1834  0.00212624
         252     1.17231     1.18336  0.00211826
         253     1.18067     1.18335  0.00210991
         254     1.19153     1.18338  0.00210185
         255     1.18755      1.1834  0.00209367
         256     1.19279     1.18343  0.00208582
         257     1.19717     1.18349  0.00207838
         258     1.20031     1.18355  0.00207135
         259     1.20728     1.18364  0.00206538
         260     1.20341     1.18372  0.00205883
         261      1.1712     1.18367   0.0020515
         262     1.17171     1.18363  0.00204418
         263     1.18493     1.18363  0.00203641
         264     1.19136     1.18366  0.00202891
         265     1.18927     1.18368  0.00202136
         266     1.18851      1.1837  0.00201385
         267     1.16902     1.18365  0.00200706
         268     1.16425     1.18357  0.00200087
         269     1.16409      1.1835  0.00199474
         270     1.16475     1.18343  0.00198856
         271     1.15971     1.18334  0.00198315
         272     1.15603     1.18324   0.0019784
         273      1.1578     1.18315  0.00197335
         274     1.14336       1.183  0.00197148
         275     1.13176     1.18282   0.0019731
         276     1.13624     1.18265  0.00197316
         277     1.14478     1.18251  0.00197077
         278     1.13978     1.18236  0.00196966
         279     1.15945     1.18228  0.00196431
         280      1.1775     1.18226  0.00195737
         281     1.19905     1.18232  0.00195132
         282      1.1917     1.18235  0.00194468
         283     1.19348     1.18239  0.00193821
         284     1.19306     1.18243  0.00193175
         285     1.20292      1.1825   0.0019263
         286      1.2062     1.18258  0.00192135
         287     1.20833     1.18267  0.00191675
         288      1.2226     1.18281   0.0019151
         289     1.21977     1.18294  0.00191274
         290     1.19488     1.18298  0.00190659
         291     1.17594     1.18296  0.00190019
         292     1.17211     1.18292  0.00189404
         293     1.17426     1.18289  0.00188781
         294     1.16801     1.18284  0.00188207
         295     1.17723     1.18282  0.00187578
         296     1.17484     1.18279  0.00186964
         297     1.19533     1.18284  0.00186382
         298     1.18857     1.18286  0.00185767
         299     1.17276     1.18282  0.00185176
         300     1.18025     1.18281  0.00184561
         301     1.17075     1.18277  0.00183991
         302     1.15474     1.18268  0.00183616
         303       1.151     1.18258  0.00183307
         304     1.17027     1.18254  0.00182749
         305        1.19     1.18256  0.00182166
         306     1.19876     1.18261  0.00181648
         307       1.216     1.18272  0.00181381
         308     1.20515     1.18279  0.00180939
         309     1.19487     1.18283  0.00180395
         310     1.17716     1.18282  0.00179823
         311     1.17942      1.1828  0.00179248
         312       1.172     1.18277  0.00178707
         313     1.16828     1.18272  0.00178196
         314     1.21096     1.18281  0.00177855
         315     1.23232     1.18297  0.00177983
         316     1.21471     1.18307  0.00177703
         317     1.20635     1.18314  0.00177294
         318     1.21079     1.18323   0.0017695
         319     1.19282     1.18326  0.00176421
         320     1.19256     1.18329  0.00175893
         321     1.20903     1.18337  0.00175528
         322     1.22371      1.1835  0.00175429
         323     1.21834      1.1836  0.00175217
         324      1.2028     1.18366  0.00174777
         325     1.22434     1.18379  0.00174686
         326     1.24081     1.18396  0.00175024
         327     1.22675     1.18409  0.00174977
         328     1.20006     1.18414  0.00174512
         329     1.19677     1.18418  0.00174023
         330     1.18759     1.18419  0.00173499
         331     1.19417     1.18422  0.00173001
         332     1.20818     1.18429   0.0017263
         333     1.21292     1.18438  0.00172326
         334     1.21762     1.18448  0.00172097
         335     1.21959     1.18458  0.00171902
         336     1.20886     1.18466  0.00171542
         337     1.21155     1.18474  0.00171219
         338     1.23059     1.18487  0.00171249
         339      1.2345     1.18502  0.00171368
         340     1.21172      1.1851  0.00171044
         341     1.18279     1.18509  0.00170544
         342      1.1643     1.18503  0.00170154
         343     1.17358       1.185   0.0016969
         344     1.19347     1.18502  0.00169215
         345     1.20072     1.18507  0.00168785
         346     1.20918     1.18514  0.00168441
         347     1.21778     1.18523  0.00168219
         348     1.19947     1.18527  0.00167785
         349     1.18162     1.18526  0.00167307
         350     1.17864     1.18524   0.0016684
         351     1.19554     1.18527  0.00166391
         352     1.20884     1.18534  0.00166053
         353     1.21571     1.18542  0.00165805
         354       1.206     1.18548  0.00165438
         355     1.18781     1.18549  0.00164974
         356     1.17415     1.18546  0.00164541
         357     1.16719     1.18541   0.0016416
         358     1.18111     1.18539  0.00163706
         359     1.18942      1.1854  0.00163253
         360     1.16739     1.18535  0.00162877
         361     1.15506     1.18527  0.00162641
         362     1.14096     1.18515  0.00162652
         363     1.15731     1.18507  0.00162385
         364     1.17504     1.18504  0.00161962
         365     1.18247     1.18504   0.0016152
         366     1.20525     1.18509  0.00161173
         367     1.18111     1.18508  0.00160737
         368     1.17053     1.18504  0.00160349
         369     1.15549     1.18496  0.00160115
         370     1.17117     1.18492  0.00159725
         371     1.18706     1.18493  0.00159296
         372     1.18317     1.18493  0.00158868
         373     1.17999     1.18491  0.00158448
         374     1.18886     1.18492  0.00158028
         375     1.20853     1.18499  0.00157732
         376     1.19609     1.18502   0.0015734
         377     1.14473     1.18491  0.00157285
         378     1.14419      1.1848  0.00157237
         379     1.15152     1.18471  0.00157067
         380     1.14402     1.18461  0.00157019
         381     1.14069     1.18449  0.00157029
         382     1.15103      1.1844  0.00156862
         383     1.15806     1.18433  0.00156603
         384     1.17746     1.18432  0.00156206
         385     1.19382     1.18434  0.00155819
         386     1.20515     1.18439  0.00155509
         387     1.17805     1.18438  0.00155116
         388     1.14006     1.18426  0.00155136
         389     1.12987     1.18412  0.00155366
         390     1.13802     1.18401  0.00155417
         391     1.14799     1.18391  0.00155292
         392     1.16667     1.18387  0.00154958
         393     1.19623      1.1839  0.00154596
         394     1.18063     1.18389  0.00154206
         395     1.15631     1.18382  0.00153973
         396     1.14427     1.18372  0.00153908
         397     1.16323     1.18367  0.00153607
         398     1.19964     1.18371  0.00153273
         399      1.2048     1.18377   0.0015298
         400     1.17702     1.18375  0.00152607
         401     1.16881     1.18371  0.00152272
         402     1.17514     1.18369  0.00151908
         403     1.16127     1.18363  0.00151633
         404     1.16265     1.18358  0.00151347
         405     1.16315     1.18353  0.00151057
         406     1.17363     1.18351  0.00150705
         407     1.17816     1.18349   0.0015034
         408     1.20721     1.18355  0.00150084
         409     1.23161     1.18367  0.00150176
         410     1.21979     1.18376  0.00150068
         411     1.19934      1.1838  0.00149751
         412     1.16562     1.18375  0.00149452
         413      1.1506     1.18367  0.00149306
         414     1.18091     1.18366  0.00148947
         415     1.17789     1.18365  0.00148594
         416     1.16081      1.1836  0.00148339
         417     1.16925     1.18356  0.00148023
         418     1.18242     1.18356  0.00147669
         419     1.18543     1.18356  0.00147317
         420     1.19513     1.18359  0.00146992
         421     1.19579     1.18362  0.00146672
         422     1.19158     1.18364  0.00146336
         423     1.20471     1.18369  0.00146075
         424     1.22509     1.18379  0.00146056
         425      1.2241     1.18388   0.0014602
         426     1.18685     1.18389  0.00145679
         427       1.178     1.18387  0.00145345
         428     1.20945     1.18393  0.00145128
         429     1.21547     1.18401  0.00144976
         430      1.1936     1.18403  0.00144656
         431     1.19368     1.18405  0.00144337
         432     1.19331     1.18407  0.00144019
         433     1.17934     1.18406  0.00143691
