           1      1.8839      1.8839 1.12461e-08
           2     1.59321     1.73856    0.102777
           3     1.60218      1.6931   0.0779261
           4     1.58213     1.66535   0.0631897
           5     1.61372     1.65503   0.0513888
           6     1.71797     1.66552   0.0438817
           7     1.67097      1.6663   0.0376198
           8     1.60497     1.65863   0.0336892
           9     1.58608     1.65057   0.0308953
          10     1.59744     1.64526   0.0282589
          11     1.63961     1.64474   0.0256946
          12      1.6597     1.64599   0.0235836
          13     1.63682     1.64529     0.02178
          14     1.61975     1.64346   0.0203005
          15      1.5974     1.64039    0.019178
          16     1.64746     1.64083   0.0179844
          17     1.59244     1.63799   0.0171504
          18      1.6341     1.63777   0.0161989
          19     1.58806     1.63515   0.0155562
          20     1.58641     1.63272   0.0149681
          21     1.63594     1.63287   0.0142561
          22     1.67044     1.63458     0.01371
          23     1.70581     1.63767   0.0134592
          24     1.62342     1.63708   0.0129115
          25      1.5934     1.63533   0.0125128
          26     1.62307     1.63486   0.0120404
          27     1.66883     1.63612     0.01166
          28     1.57036     1.63377   0.0114776
          29     1.62611     1.63351   0.0110849
          30      1.6295     1.63337   0.0107162
          31     1.61873      1.6329   0.0103809
          32     1.61637     1.63238   0.0100694
          33     1.62666     1.63221  0.00976572
          34     1.59439      1.6311  0.00954165
          35     1.62858     1.63103   0.0092693
          36     1.58091     1.62963  0.00911574
          37     1.62129     1.62941  0.00887216
          38     1.63799     1.62963  0.00864156
          39     1.62213     1.62944  0.00842212
          40     1.65746     1.63014  0.00824065
          41     1.65314      1.6307  0.00805874
          42     1.57017     1.62926  0.00799469
          43     1.57973     1.62811  0.00789132
          44     1.62467     1.62803  0.00771236
          45     1.61228     1.62768  0.00754892
          46     1.56933     1.62641  0.00749063
          47     1.60535     1.62597  0.00734465
          48     1.66434     1.62677  0.00723502
          49     1.62803     1.62679  0.00708741
          50     1.59416     1.62614  0.00697564
          51     1.58376     1.62531  0.00688818
          52     1.58328      1.6245  0.00680298
          53     1.61957     1.62441  0.00667525
          54     1.58424     1.62366  0.00659295
          55     1.58412     1.62294  0.00651215
          56     1.58197     1.62221  0.00643684
          57     1.60998       1.622  0.00632749
          58     1.64165     1.62234  0.00622745
          59     1.59152     1.62181  0.00614377
          60     1.58743     1.62124  0.00606804
          61     1.55475     1.62015  0.00606569
          62     1.65161     1.62066  0.00598904
          63     1.66397     1.62135  0.00593331
          64     1.63811     1.62161  0.00584638
          65     1.61935     1.62157  0.00575654
          66     1.62954     1.62169  0.00567058
