           1     1.91461     1.91461 1.02311e-08
           2     1.62148     1.76804    0.103638
           3     1.62728     1.72112   0.0790031
           4     1.61721     1.69514   0.0633798
           5     1.68401     1.69292   0.0507429
           6     1.68409     1.69145   0.0423071
           7     1.62676      1.6822   0.0372588
           8       1.643      1.6773   0.0329221
           9     1.69358     1.67911   0.0293138
          10     1.62093      1.6733   0.0269535
          11     1.67543     1.67349   0.0245039
          12     1.59991     1.66736   0.0232164
          13     1.64413     1.66557   0.0214992
          14     1.64595     1.66417   0.0200091
          15     1.65894     1.66382   0.0186782
          16     1.66532     1.66392   0.0175111
          17     1.68235       1.665   0.0165146
          18     1.67314     1.66545   0.0156033
          19     1.71144     1.66787   0.0149686
          20     1.65705     1.66733     0.01423
          21     1.67439     1.66767   0.0135563
          22     1.69551     1.66893   0.0129991
          23     1.65229     1.66821    0.012454
          24     1.65688     1.66774   0.0119441
          25     1.62086     1.66586   0.0116125
          26     1.69325     1.66692   0.0112136
          27     1.62961     1.66553    0.010883
          28     1.61007     1.66355   0.0106731
          29     1.54796     1.65957   0.0110242
          30     1.67816     1.66019   0.0106741
          31     1.72248      1.6622   0.0105173
          32     1.70661     1.66358   0.0102798
          33     1.66216     1.66354  0.00996836
          34     1.59867     1.66163  0.00985606
          35     1.61452     1.66029  0.00966594
          36     1.56677     1.65769  0.00974024
          37     1.65799      1.6577    0.009477
          38     1.66991     1.65802  0.00923305
          39     1.63813     1.65751  0.00901037
          40     1.65808     1.65752  0.00878513
          41     1.61007     1.65637  0.00864675
          42     1.65551     1.65635   0.0084409
          43     1.68947     1.65712  0.00827968
          44     1.66506      1.6573  0.00809347
          45     1.61357     1.65633  0.00797174
          46     1.69658      1.6572  0.00784631
          47      1.6718     1.65751  0.00768552
          48     1.62285     1.65679  0.00755924
          49     1.64175     1.65648  0.00741119
          50     1.65495     1.65645  0.00726303
          51     1.68042     1.65692  0.00713581
          52     1.65436     1.65687  0.00699875
          53     1.64506     1.65665  0.00687025
          54     1.68891     1.65725  0.00676896
          55     1.59597     1.65613  0.00673695
          56     1.62876     1.65564  0.00663436
          57     1.70885     1.65658  0.00658332
          58      1.6673     1.65676  0.00647241
          59      1.6606     1.65683  0.00636303
          60     1.63954     1.65654   0.0062635
          61     1.65826     1.65657  0.00616088
          62     1.63608     1.65624  0.00607037
          63     1.62722     1.65578  0.00599147
          64     1.60372     1.65496   0.0059528
          65      1.6149     1.65435  0.00589304
          66     1.71602     1.65528  0.00587736
          67     1.67974     1.65565  0.00580097
          68     1.68669      1.6561   0.0057336
          69     1.63649     1.65582  0.00565754
          70     1.64611     1.65568  0.00557842
          71     1.61989     1.65518  0.00552258
          72     1.60201     1.65444  0.00549503
          73     1.61103     1.65384  0.00545183
          74     1.61261     1.65328  0.00540656
          75     1.66544     1.65345   0.0053369
          76     1.68632     1.65388  0.00528418
          77     1.67216     1.65412  0.00522089
          78     1.63964     1.65393  0.00515725
          79     1.62543     1.65357  0.00510457
          80     1.70049     1.65416  0.00507434
          81     1.64046     1.65399  0.00501451
          82     1.68025     1.65431  0.00496358
          83     1.65327      1.6543  0.00490379
          84     1.68909     1.65471  0.00486287
          85     1.65247     1.65468  0.00480573
          86     1.70251     1.65524  0.00478193
          87     1.61536     1.65478  0.00474889
          88     1.64918     1.65472  0.00469535
          89     1.63095     1.65445  0.00465018
          90     1.62905     1.65417  0.00460707
          91     1.62071      1.6538  0.00457109
          92     1.62615      1.6535  0.00453127
