           1     -5.3272     -5.3272 2.13758e-08
           2    -5.03953    -5.18337    0.101706
           3    -5.05029    -5.13901   0.0768709
           4    -5.00517    -5.10555   0.0645259
           5    -5.06411    -5.09726   0.0521502
           6    -5.12319    -5.10158   0.0436373
           7    -5.06681    -5.09661   0.0376849
           8    -5.12742    -5.10046   0.0331704
           9    -5.08854    -5.09914   0.0295113
          10    -5.12405    -5.10163    0.026665
          11    -5.04056    -5.09608   0.0248121
          12    -5.07232     -5.0941   0.0228233
          13     -5.0232    -5.08865   0.0217094
          14    -5.04094    -5.08524   0.0204244
          15    -5.02244    -5.08105   0.0194872
          16    -5.03762    -5.07834   0.0184574
          17    -5.01643    -5.07469   0.0177273
          18    -5.10124    -5.07617   0.0168037
          19    -5.07636    -5.07618   0.0159193
          20    -5.07237    -5.07599   0.0151244
          21    -5.00003    -5.07237   0.0148304
          22    -5.02496    -5.07022    0.014312
          23    -5.09765    -5.07141   0.0137394
          24     -5.0916    -5.07225   0.0131926
          25    -5.05214    -5.07145   0.0126895
          26     -5.0913    -5.07221   0.0122244
          27    -5.07135    -5.07218   0.0117716
          28    -5.09115    -5.07286   0.0113707
          29    -5.07255    -5.07285   0.0109786
          30    -5.06871    -5.07271   0.0106135
          31     -5.0649    -5.07246   0.0102742
          32    -5.06227    -5.07214  0.00995801
          33    -5.05438     -5.0716  0.00967078
          34    -5.06613    -5.07144  0.00938768
          35    -5.06003    -5.07111  0.00912513
          36    -5.04532     -5.0704  0.00889973
          37    -5.04272    -5.06965  0.00869058
          38    -5.06795     -5.0696  0.00846199
          39    -5.01681    -5.06825  0.00835259
          40    -5.06767    -5.06824  0.00814378
          41    -5.06392    -5.06813  0.00794584
          42     -5.0489    -5.06767  0.00776983
          43    -5.06909    -5.06771   0.0075892
          44    -5.06868    -5.06773  0.00741675
          45    -5.06994    -5.06778   0.0072521
          46    -5.03046    -5.06697  0.00713966
          47    -5.06692    -5.06696  0.00698775
          48    -5.05698    -5.06676  0.00684527
          49    -5.11202    -5.06768  0.00676761
          50    -5.06937    -5.06771  0.00663234
          51    -5.01484    -5.06668  0.00658282
          52     -5.0658    -5.06666  0.00645625
          53    -4.98315    -5.06508  0.00652387
          54    -5.05819    -5.06496  0.00640431
          55    -5.02175    -5.06417  0.00633586
          56     -5.0285    -5.06353  0.00625466
          57    -5.07141    -5.06367  0.00614646
          58    -5.11503    -5.06456  0.00610394
          59    -5.07527    -5.06474  0.00600319
          60    -4.98935    -5.06348  0.00603319
          61    -5.05241     -5.0633  0.00593702
          62    -5.15047    -5.06471  0.00600543
          63    -5.13279    -5.06579  0.00600655
          64    -5.02582    -5.06516  0.00594508
          65    -5.03934    -5.06477  0.00586688
          66    -5.01916    -5.06408  0.00581853
          67    -5.01767    -5.06338  0.00577276
          68     -5.0377    -5.06301  0.00570021
          69    -5.00504    -5.06217  0.00567916
          70    -5.07484    -5.06235  0.00560091
          71    -5.01996    -5.06175  0.00555375
          72    -5.03996    -5.06145  0.00548486
          73    -4.99443    -5.06053  0.00548601
          74    -5.02588    -5.06006  0.00543182
          75    -5.04369    -5.05984  0.00536378
          76    -5.11571    -5.06058  0.00534334
          77    -5.11741    -5.06132  0.00532468
          78    -5.10662     -5.0619    0.005288
          79    -5.09161    -5.06227  0.00523442
          80     -5.0831    -5.06253  0.00517547
          81    -5.07025    -5.06263  0.00511245
          82    -5.06495    -5.06266  0.00505018
          83    -5.13835    -5.06357    0.005071
          84    -5.01647    -5.06301  0.00504153
          85    -5.10638    -5.06352  0.00500798
          86    -5.08475    -5.06376  0.00495583
          87    -5.14722    -5.06472  0.00499084
          88    -5.08765    -5.06498  0.00494093
          89    -5.05686    -5.06489  0.00488625
          90    -5.06765    -5.06492  0.00483206
          91    -5.04225    -5.06467  0.00478538
          92    -5.02218    -5.06421   0.0047556
          93    -5.06636    -5.06424  0.00470452
          94    -5.09123    -5.06452  0.00466323
          95    -5.10888    -5.06499  0.00463746
          96    -5.04927    -5.06483  0.00459204
          97    -5.11981    -5.06539  0.00457956
          98     -5.0371     -5.0651  0.00454192
          99    -5.01104    -5.06456  0.00452875
         100    -5.10644    -5.06498  0.00450278
         101    -5.00614    -5.06439  0.00449572
         102    -4.99133    -5.06368  0.00450835
         103    -5.10103    -5.06404  0.00447915
         104    -5.08042     -5.0642  0.00443885
         105    -5.02417    -5.06382  0.00441291
         106    -4.99866     -5.0632  0.00441388
         107    -5.09393    -5.06349  0.00438196
         108    -5.06982    -5.06355  0.00434178
         109    -5.10346    -5.06391  0.00431735
         110    -5.01916    -5.06351  0.00429723
         111    -5.08719    -5.06372  0.00426381
         112    -5.03528    -5.06347   0.0042333
         113    -5.12889    -5.06405  0.00423524
         114    -5.09354     -5.0643  0.00420598
         115    -5.03333    -5.06404  0.00417802
         116    -5.06934    -5.06408  0.00414225
         117    -5.05388    -5.06399  0.00410777
         118    -5.05995    -5.06396   0.0040731
         119    -5.06872      -5.064  0.00403907
         120    -4.98327    -5.06333  0.00406105
         121    -5.04564    -5.06318  0.00403012
         122      -5.056    -5.06312  0.00399752
         123    -4.97118    -5.06237  0.00403429
         124    -5.06393    -5.06239  0.00400178
         125    -5.08863     -5.0626  0.00397526
         126    -5.12964    -5.06313  0.00397916
         127    -5.06403    -5.06314  0.00394783
         128    -5.01302    -5.06274  0.00393636
         129    -5.07781    -5.06286  0.00390758
         130    -5.07488    -5.06295  0.00387862
         131    -5.06263    -5.06295  0.00384901
         132    -5.08589    -5.06312  0.00382377
         133     -5.0395    -5.06295  0.00379914
         134    -5.10576    -5.06327   0.0037842
         135    -5.02993    -5.06302  0.00376422
         136    -5.02972    -5.06278   0.0037445
         137    -5.02265    -5.06248  0.00372861
         138    -5.10001    -5.06275  0.00371149
         139    -5.06554    -5.06277  0.00368484
         140      -5.088    -5.06295  0.00366292
         141    -5.06407    -5.06296  0.00363696
         142    -5.03788    -5.06279  0.00361563
         143    -5.05658    -5.06274  0.00359061
         144    -5.09959      -5.063  0.00357478
         145      -5.075    -5.06308  0.00355108
         146    -4.96549    -5.06241  0.00358912
         147    -5.05705    -5.06238  0.00356489
         148    -5.07343    -5.06245  0.00354159
         149    -5.02525     -5.0622   0.0035266
         150    -5.10465    -5.06248  0.00351443
         151      -5.076    -5.06257  0.00349229
         152    -5.11117    -5.06289  0.00348392
         153    -4.98095    -5.06236  0.00350208
         154    -5.06589    -5.06238  0.00347941
         155    -5.01544    -5.06208  0.00347012
         156    -5.13039    -5.06252   0.0034754
         157    -5.10824    -5.06281  0.00346544
         158    -5.07176    -5.06286  0.00344397
         159    -5.10319    -5.06312  0.00343163
         160    -5.10965    -5.06341  0.00342249
         161     -5.1049    -5.06367  0.00341092
         162    -5.00447     -5.0633  0.00340938
         163    -5.09084    -5.06347  0.00339265
         164    -5.05016    -5.06339  0.00337293
         165     -5.0596    -5.06336  0.00335257
         166    -5.08717    -5.06351  0.00333544
         167    -5.13453    -5.06393  0.00334247
         168    -5.06388    -5.06393  0.00332257
         169    -5.07762    -5.06401   0.0033039
         170    -5.04466     -5.0639  0.00328643
         171    -4.98178    -5.06342  0.00330211
         172    -5.04755    -5.06333   0.0032842
         173    -5.07064    -5.06337  0.00326549
         174    -5.05235    -5.06331  0.00324734
         175    -5.08214    -5.06341  0.00323057
         176    -5.05236    -5.06335  0.00321282
         177    -5.03071    -5.06317  0.00319996
         178    -5.06494    -5.06318    0.003182
         179    -5.07944    -5.06327  0.00316551
         180    -5.09731    -5.06346  0.00315357
         181    -5.11776    -5.06376  0.00315039
         182    -5.09745    -5.06394  0.00313851
