           1    -5.31756    -5.31756 2.47371e-08
           2    -5.02836    -5.17296     0.10225
           3    -5.03688     -5.1276   0.0775781
           4    -5.00394    -5.09668   0.0640475
           5    -5.05586    -5.08852   0.0517558
           6    -5.11992    -5.09375   0.0433936
           7    -5.03078    -5.08476   0.0381156
           8    -5.06068    -5.08175   0.0334698
           9     -5.0312    -5.07613   0.0302185
          10    -5.05899    -5.07442   0.0272453
          11    -5.05644    -5.07278   0.0248174
          12    -5.02421    -5.06873    0.023077
          13    -5.03772    -5.06635   0.0214248
          14    -4.97433    -5.05978   0.0208784
          15    -5.02626    -5.05754   0.0196057
          16    -5.10441    -5.06047    0.018598
          17    -5.00955    -5.05748   0.0177435
          18    -5.00671    -5.05466   0.0169804
          19    -5.07666    -5.05581   0.0161261
          20    -5.07983    -5.05701   0.0153645
          21    -5.09182    -5.05867    0.014722
          22    -5.00856    -5.05639   0.0142279
          23    -5.06425    -5.05674   0.0136134
          24    -5.07155    -5.05735   0.0130602
          25    -4.98321    -5.05439   0.0128701
          26    -5.09567    -5.05597   0.0124727
          27     -5.0906    -5.05726   0.0120765
          28    -5.05408    -5.05714   0.0116457
          29    -5.03438    -5.05636   0.0112705
          30    -5.05784    -5.05641    0.010895
          31    -5.05076    -5.05623    0.010545
          32    -5.10376    -5.05771   0.0103196
          33    -5.01439     -5.0564     0.01009
          34    -5.03014    -5.05563  0.00982278
          35    -5.03718     -5.0551  0.00955626
          36    -5.01603    -5.05401  0.00935222
          37    -4.99836    -5.05251  0.00921965
          38    -5.11221    -5.05408  0.00910989
          39    -5.06086    -5.05425  0.00887796
          40    -5.10335    -5.05548  0.00874045
          41    -5.02469    -5.05473  0.00855946
          42     -5.1238    -5.05638  0.00851216
          43    -5.04232    -5.05605  0.00832047
          44    -5.05077    -5.05593  0.00813224
          45    -5.10127    -5.05694   0.0080137
          46    -5.08536    -5.05755  0.00786328
          47    -5.10714    -5.05861  0.00776644
          48    -5.07661    -5.05898  0.00761369
          49    -5.03891    -5.05857  0.00746932
          50    -5.00537    -5.05751  0.00739536
          51    -5.02656     -5.0569  0.00727521
          52    -5.05388    -5.05685  0.00713554
          53    -5.03524    -5.05644  0.00701253
          54    -5.00387    -5.05546  0.00694991
          55    -5.04091     -5.0552  0.00682859
          56     -5.0502    -5.05511  0.00670723
          57    -5.05363    -5.05508  0.00658961
          58    -5.05109    -5.05502  0.00647636
          59    -5.02552    -5.05452  0.00638585
          60    -5.10809    -5.05541  0.00634154
          61    -5.11304    -5.05635  0.00630757
          62     -5.0399    -5.05609  0.00621141
          63    -5.04227    -5.05587  0.00611669
          64    -4.93453    -5.05397  0.00630812
          65    -5.09168    -5.05455  0.00623769
          66    -5.06517    -5.05471  0.00614525
          67    -5.03045    -5.05435  0.00606419
          68    -5.00246    -5.05359  0.00602283
          69    -4.98907    -5.05265  0.00600768
          70    -5.07025     -5.0529  0.00592712
          71    -5.06486    -5.05307  0.00584602
          72    -5.04331    -5.05294   0.0057664
          73     -5.1012     -5.0536  0.00572518
          74    -5.03416    -5.05334  0.00565384
          75    -5.05361    -5.05334  0.00557845
          76     -5.0539    -5.05335  0.00550506
          77    -5.00487    -5.05272  0.00546944
          78    -5.07489      -5.053   0.0054067
          79     -5.0113    -5.05247  0.00536397
          80    -5.05606    -5.05252  0.00529711
          81    -5.04844    -5.05247  0.00523195
          82    -5.03363    -5.05224  0.00517319
          83    -5.05733     -5.0523  0.00511122
          84    -5.07794    -5.05261  0.00505948
          85    -5.05221     -5.0526  0.00499996
          86    -5.04695    -5.05253  0.00494226
          87    -5.01422    -5.05209  0.00490503
          88    -5.01926    -5.05172  0.00486346
          89    -5.06985    -5.05193  0.00481308
          90    -5.04351    -5.05183  0.00476051
          91     -5.0427    -5.05173  0.00470926
          92    -5.10577    -5.05232  0.00469455
          93    -4.98202    -5.05156  0.00470454
          94    -5.06463     -5.0517  0.00465654
          95    -5.01332     -5.0513  0.00462502
          96    -5.00506    -5.05082  0.00460185
          97    -4.97499    -5.05003  0.00462032
          98     -5.1387    -5.05094  0.00466091
          99    -5.02984    -5.05073   0.0046187
