           1    0.977555    0.977555 3.20742e-09
           2    0.839152    0.908354   0.0489328
           3     0.84688    0.887863   0.0366622
           4    0.826887    0.872619   0.0305016
           5    0.850111    0.868117   0.0247312
           6    0.879143    0.869955   0.0206775
           7    0.855298    0.867861   0.0178293
           8    0.884158    0.869898   0.0157165
           9    0.865643    0.869425   0.0139774
          10    0.882489    0.870732   0.0126405
          11     0.83959    0.867901   0.0118042
          12    0.856102    0.866917   0.0108614
          13    0.833995    0.864385   0.0103169
          14     0.84078    0.862699  0.00971679
          15    0.831741    0.860635  0.00928559
          16    0.839485    0.859313  0.00879883
          17    0.829336     0.85755  0.00845609
          18    0.871482    0.858324  0.00802166
          19    0.859214    0.858371   0.0075996
          20     0.85576     0.85824  0.00722074
          21    0.820347    0.856436  0.00709878
          22    0.832307    0.855339  0.00686031
          23    0.867505    0.855868   0.0065824
          24    0.865728    0.856279  0.00632094
          25    0.845454    0.855846  0.00608291
          26    0.865169    0.856204  0.00585951
          27     0.85633    0.856209   0.0056425
          28    0.865402    0.856537  0.00545052
          29    0.856037     0.85652   0.0052626
          30    0.854216    0.856443  0.00508774
          31    0.853909    0.856362  0.00492428
          32    0.852192    0.856231  0.00477212
          33    0.845864    0.855917  0.00463784
          34     0.85298    0.855831  0.00450224
          35    0.851197    0.855698  0.00437555
          36     0.84524    0.855408  0.00426364
          37    0.842885    0.855069  0.00416181
          38    0.854632    0.855058  0.00405231
          39     0.82906    0.854391  0.00400286
          40    0.855939     0.85443  0.00390297
          41    0.852457    0.854382  0.00380807
          42    0.846503    0.854194  0.00372202
          43    0.856654    0.854251   0.0036359
          44    0.856801    0.854309  0.00355373
          45    0.857105    0.854371   0.0034753
          46    0.835337    0.853958   0.0034243
          47    0.854487    0.853969  0.00335146
          48    0.848539    0.853856  0.00328355
          49    0.875734    0.854302  0.00324675
          50    0.858714    0.854391  0.00318301
          51    0.832528    0.853962  0.00314934
          52     0.85524    0.853986  0.00308887
          53     0.81413    0.853234  0.00312079
          54    0.849202     0.85316  0.00306389
          55    0.834519    0.852821  0.00302687
          56    0.836496    0.852529  0.00298682
          57    0.857409    0.852615  0.00293565
          58    0.877618    0.853046  0.00291651
          59    0.859234    0.853151  0.00286896
          60    0.818243    0.852569  0.00287954
          61    0.850946    0.852542  0.00283246
          62    0.897876    0.853274   0.0028796
          63    0.885175     0.85378  0.00287807
          64    0.836241    0.853506  0.00284612
          65    0.842858    0.853342  0.00280704
          66    0.833102    0.853036  0.00278121
          67     0.83256     0.85273  0.00275644
          68    0.842162    0.852575  0.00272028
          69    0.823711    0.852156  0.00271283
          70    0.856711    0.852221  0.00267486
          71    0.829443      0.8519  0.00265635
          72    0.843217     0.85178  0.00262219
          73    0.820744    0.851355  0.00262051
          74    0.834513    0.851127  0.00259496
          75    0.843565    0.851026  0.00256232
          76    0.875625     0.85135  0.00254897
          77    0.878424    0.851702     0.00254
          78    0.874461    0.851993  0.00252414
          79    0.868015    0.852196  0.00250032
          80    0.863614    0.852339  0.00247314
          81    0.857948    0.852408  0.00244358
          82    0.855788    0.852449  0.00241412
          83    0.890894    0.852913  0.00242907
          84    0.831895    0.852662    0.002413
          85    0.875108    0.852926  0.00239902
          86    0.864304    0.853059  0.00237477
          87     0.89405     0.85353  0.00239376
          88    0.865382    0.853665  0.00237034
          89    0.849524    0.853618  0.00234416
          90    0.855564     0.85364  0.00231822
          91    0.842148    0.853513  0.00229618
          92    0.832678    0.853287  0.00228236
