           1      1.0115      1.0115 7.12201e-09
           2    0.870777    0.941136   0.0497512
           3    0.875434    0.919236   0.0376808
           4    0.870725    0.907108   0.0301492
           5    0.894364    0.904559   0.0242268
           6    0.921982    0.907463   0.0203623
           7    0.862905    0.901097   0.0184215
           8     0.88203    0.898714   0.0162723
           9    0.883505    0.897024   0.0145517
          10    0.935175    0.900839   0.0135875
          11    0.886505    0.899536   0.0124146
          12    0.902317    0.899768   0.0113822
          13    0.858095    0.896562   0.0109487
          14    0.868901    0.894586   0.0103434
          15    0.878127    0.893489  0.00971189
          16    0.877317    0.892478  0.00915734
          17    0.889998    0.892333  0.00861983
          18    0.878936    0.891588  0.00817302
          19     0.91368    0.892751  0.00782513
          20    0.917335     0.89398   0.0075298
          21    0.883766    0.893494  0.00718693
          22    0.890014    0.893336  0.00686199
          23    0.880505    0.892778  0.00658628
          24    0.871477     0.89189  0.00637137
          25    0.872933    0.891132  0.00616147
          26    0.879547    0.890686  0.00594058
          27    0.902119     0.89111  0.00573563
          28    0.881901    0.890781  0.00554021
          29    0.886304    0.890627  0.00535132
          30    0.868737    0.889897  0.00522245
          31    0.873918    0.889381  0.00507936
          32    0.860296    0.888473  0.00500129
          33    0.873785    0.888027   0.0048695
          34    0.849792    0.886903   0.0048544
          35    0.887219    0.886912  0.00471571
          36    0.897383    0.887203  0.00459368
          37    0.891765    0.887326  0.00447118
          38    0.877757    0.887074   0.0043606
          39    0.911476      0.8877  0.00429345
          40    0.876436    0.887418  0.00419533
          41    0.863416    0.886833  0.00413365
          42    0.873564    0.886517  0.00404729
          43    0.876126    0.886275  0.00396037
          44    0.880079    0.886135  0.00387287
          45    0.882963    0.886064  0.00378744
          46    0.883054    0.885999  0.00370567
          47    0.879638    0.885863   0.0036293
          48    0.903421    0.886229  0.00357207
          49    0.890049    0.886307  0.00350003
          50    0.903755    0.886656  0.00344738
          51    0.898967    0.886897  0.00338822
          52    0.885398    0.886869  0.00332319
          53    0.904304    0.887197  0.00327673
          54     0.88802    0.887213  0.00321608
          55    0.885547    0.887182  0.00315775
          56    0.876247    0.886987   0.0031074
          57    0.893973     0.88711   0.0030553
          58    0.883175    0.887042  0.00300337
          59    0.883981     0.88699  0.00295292
          60    0.873293    0.886762  0.00291251
          61    0.892767     0.88686  0.00286643
          62    0.853563    0.886323  0.00287007
          63    0.849313    0.885736  0.00288401
          64    0.883652    0.885703  0.00283913
          65    0.880435    0.885622   0.0027966
          66    0.873416    0.885437  0.00276034
          67    0.889748    0.885501  0.00271989
          68    0.889076    0.885554   0.0026804
          69    0.901557    0.885786  0.00265157
          70    0.872251    0.885593  0.00262073
          71    0.886683    0.885608  0.00258386
          72    0.868662    0.885373  0.00255867
          73    0.897087    0.885533  0.00252865
          74     0.87479    0.885388  0.00249864
          75    0.906701    0.885672  0.00248144
          76    0.860631    0.885343  0.00247056
          77    0.885212    0.885341  0.00243848
          78    0.875434    0.885214  0.00241052
          79    0.906223     0.88548  0.00239463
          80    0.881914    0.885435  0.00236511
          81    0.873535    0.885288  0.00234047
          82     0.87312     0.88514  0.00231663
          83    0.848169    0.884694  0.00233115
          84    0.911268    0.885011  0.00232477
          85    0.890904     0.88508  0.00229845
          86    0.889055    0.885126  0.00227219
          87    0.857558     0.88481  0.00226806
          88    0.857494    0.884499  0.00226343
          89    0.867013    0.884303  0.00224651
          90    0.839191    0.883801  0.00227678
          91     0.86105    0.883551  0.00226544
          92    0.862885    0.883327  0.00225193
          93     0.88407    0.883335  0.00222773
          94    0.895004    0.883459  0.00220748
          95    0.911727    0.883756  0.00220421
          96    0.884614    0.883765  0.00218127
          97    0.879442    0.883721  0.00215924
          98    0.877748     0.88366  0.00213806
          99    0.862914     0.88345  0.00212671
         100    0.885096    0.883467  0.00210551
         101    0.900403    0.883634  0.00209133
         102    0.905526    0.883849  0.00208181
         103    0.870735    0.883722  0.00206549
         104    0.877589    0.883663  0.00204647
         105    0.872352    0.883555  0.00202981
         106    0.849637    0.883235  0.00203573
         107    0.877337     0.88318  0.00201745
         108    0.882207    0.883171  0.00199879
         109    0.868427    0.883036  0.00198502
         110    0.883844    0.883043  0.00196699
         111    0.895056    0.883151  0.00195224
         112     0.90167    0.883317   0.0019418
         113    0.862681    0.883134  0.00193319
         114    0.899191    0.883275  0.00192135
         115    0.880854    0.883254  0.00190476
         116    0.886764    0.883284  0.00188858
         117    0.860475    0.883089  0.00188247
         118    0.871524    0.882991  0.00186907
         119    0.876432    0.882936  0.00185418
         120    0.901857    0.883094  0.00184542
         121    0.899311    0.883228  0.00183503
         122      0.8662    0.883088  0.00182528
         123    0.854068    0.882852  0.00182563
         124    0.907953    0.883055  0.00182209
         125    0.903597    0.883219  0.00181491
         126    0.885955    0.883241  0.00180064
         127    0.881519    0.883227  0.00178651
         128    0.866807    0.883099  0.00177716
         129    0.849532    0.882839  0.00178233
         130    0.856305    0.882635  0.00178026
         131    0.900848    0.882774   0.0017721
