           1     1.02851     1.02851 8.50574e-09
           2    0.886586    0.957549   0.0501783
           3    0.889937    0.935011   0.0381795
           4    0.889415    0.923612   0.0302885
           5    0.923379    0.923565   0.0242309
           6    0.930172    0.924667   0.0202174
           7    0.891198    0.919885   0.0178856
           8    0.922394    0.920199   0.0156527
           9    0.887072    0.916518   0.0143397
          10    0.852297    0.910096   0.0142716
          11    0.892447    0.908492    0.013064
          12    0.895197    0.907384   0.0120222
          13    0.876877    0.905037   0.0113242
          14    0.928408    0.906706   0.0106376
          15     0.92717    0.908071   0.0100155
          16    0.879004    0.906254  0.00955291
          17    0.884659    0.904984  0.00907504
          18    0.899218    0.904663  0.00857652
          19     0.88315    0.903531  0.00819952
          20    0.901198    0.903414  0.00779038
          21    0.869996    0.901823   0.0075802
          22    0.917435    0.902533  0.00726878
          23    0.886092    0.901818   0.0069878
          24    0.905668    0.901978  0.00669849
          25    0.871094    0.900743  0.00654347
          26    0.894484    0.900502  0.00629623
          27    0.897376    0.900386   0.0060641
          28     0.88537     0.89985  0.00587119
          29    0.906554    0.900081  0.00567329
          30    0.913403    0.900525  0.00550153
          31    0.931615    0.901528   0.0054147
          32     0.89873    0.901441   0.0052462
          33    0.918393    0.901955  0.00511231
          34    0.896793    0.901803   0.0049642
          35    0.894155    0.901584  0.00482718
          36    0.912893    0.901898   0.0047033
          37    0.914945    0.902251  0.00458938
          38    0.901122    0.902221   0.0044687
          39    0.913393    0.902508  0.00436329
          40    0.906634    0.902611  0.00425543
          41     0.90121    0.902577  0.00415177
          42    0.859395    0.901549  0.00417829
          43     0.86112    0.900608  0.00418557
          44    0.904994    0.900708  0.00409163
          45    0.883974    0.900336  0.00401756
          46    0.900484    0.900339  0.00393023
          47    0.932709    0.901028  0.00390648
          48    0.913061    0.901279  0.00383313
          49    0.887312    0.900994  0.00376549
          50    0.902134    0.901017  0.00369024
          51    0.906177    0.901118  0.00361927
          52    0.909373    0.901277  0.00355315
          53    0.898073    0.901216  0.00348663
          54    0.889686    0.901003  0.00342859
          55    0.902079    0.901022  0.00336631
          56     0.87837    0.900618  0.00333041
          57     0.90574    0.900707  0.00327319
          58    0.933845    0.901279  0.00326624
          59    0.862849    0.900627  0.00327518
          60    0.902474    0.900658  0.00322074
          61    0.902714    0.900692  0.00316812
          62    0.904131    0.900747  0.00311751
          63    0.879222    0.900406  0.00308669
          64    0.889954    0.900242  0.00304278
          65    0.894069    0.900147  0.00299745
          66    0.904087    0.900207  0.00295262
          67    0.896332    0.900149  0.00290912
          68    0.880324    0.899858  0.00288091
          69     0.90437    0.899923   0.0028399
          70    0.910358    0.900072  0.00280324
          71    0.894596    0.899995  0.00276482
          72    0.915738    0.900214  0.00273505
          73    0.860313    0.899667  0.00275166
          74    0.853063    0.899037  0.00278561
          75    0.888323    0.898894  0.00275213
          76    0.917357    0.899137  0.00272662
          77    0.912784    0.899315  0.00269697
          78    0.860653    0.898819  0.00270755
          79    0.922145    0.899114  0.00268933
          80    0.921539    0.899395  0.00267028
          81    0.922007    0.899674  0.00265187
          82    0.909064    0.899788    0.002622
          83    0.871569    0.899448  0.00261236
          84    0.876802    0.899179  0.00259514
          85    0.890952    0.899082  0.00256641
          86    0.855094     0.89857  0.00258703
          87    0.882004     0.89838   0.0025643
          88    0.890587    0.898291  0.00253669
