           1     1.22191     1.22191 4.61636e-09
           2     1.03072     1.12632   0.0675958
           3     1.04002     1.09755   0.0508175
           4     1.00841     1.07527   0.0427217
           5     1.05251     1.07071    0.034419
           6     1.08607     1.07327   0.0287775
           7      1.0545     1.07059    0.024791
           8     1.00869     1.06285   0.0228678
           9     1.01159     1.05716   0.0210243
          10      1.0557     1.05701   0.0189223
          11     1.06468     1.05771    0.017215
          12     1.02535     1.05501   0.0159902
          13     1.04045     1.05389   0.0147994
          14     1.06421     1.05463   0.0137606
          15     1.06702     1.05546    0.012868
          16     1.05616      1.0555   0.0120638
          17     1.04731     1.05502   0.0113638
          18     1.02986     1.05362   0.0108181
          19     1.04735     1.05329   0.0102537
          20     1.03619     1.05243  0.00977662
          21     1.03567     1.05164  0.00934362
          22     1.02986     1.05065  0.00897121
          23     1.06477     1.05126  0.00860214
          24      1.0435     1.05094   0.0082498
          25     1.07519     1.05191  0.00797663
          26     1.01886     1.05064  0.00777044
          27     1.13594      1.0538  0.00809956
          28     1.02376     1.05272  0.00788102
          29     1.05368     1.05276  0.00760933
          30     1.01209      1.0514  0.00747542
          31     1.01553     1.05024   0.0073233
          32     1.07466     1.05101   0.0071341
          33     1.06783     1.05152  0.00693611
          34     1.02746     1.05081   0.0067681
          35     1.06723     1.05128  0.00659097
          36      1.0645     1.05164  0.00641811
          37     1.01882     1.05076  0.00630566
          38     1.06986     1.05126  0.00615973
          39      1.0474     1.05116  0.00600258
          40     1.07534     1.05177  0.00588286
          41     1.07468     1.05232  0.00576587
          42      1.0645     1.05261  0.00563587
          43     1.01039     1.05163   0.0055897
          44     1.06036     1.05183  0.00546618
          45      1.0682     1.05219  0.00535679
          46     1.07689     1.05273  0.00526717
          47     1.04421     1.05255  0.00515822
          48     1.02212     1.05192  0.00508957
          49     1.06395     1.05216  0.00499162
          50      1.0618     1.05235   0.0048955
          51     1.08618     1.05302  0.00484423
          52      1.0367      1.0527  0.00476122
          53     1.01409     1.05198  0.00472681
          54     1.05616     1.05205  0.00463991
          55     1.01641      1.0514   0.0046006
          56     1.02154     1.05087  0.00454924
          57     1.03301     1.05056  0.00448021
          58     1.00597     1.04979  0.00446843
          59     1.00337       1.049  0.00446142
          60     1.03662      1.0488  0.00439183
          61     1.04651     1.04876  0.00431999
          62     1.04341     1.04867  0.00425118
          63     1.03367     1.04843  0.00419037
          64     1.09152     1.04911  0.00417863
          65     1.11771     1.05016  0.00424555
          66     1.07062     1.05047  0.00419252
          67     1.03478     1.05024  0.00413649
          68     1.05294     1.05028  0.00407585
          69     1.07016     1.05057  0.00402695
          70     1.04418     1.05048  0.00397045
          71     1.04161     1.05035  0.00391649
          72    0.995951     1.04959   0.0039343
          73      1.0425      1.0495  0.00388161
          74     1.09426      1.0501    0.003876
          75      1.0195     1.04969  0.00384573
          76     1.06158     1.04985  0.00379831
          77      1.0544     1.04991  0.00374944
          78     1.07077     1.05018  0.00371089
          79      1.0472     1.05014  0.00366411
          80     1.03516     1.04995  0.00362309
          81     1.04027     1.04983  0.00358033
          82     1.02099     1.04948   0.0035539
          83     1.04506     1.04943  0.00351148
          84     1.06786     1.04965  0.00347653
          85     1.04267     1.04957   0.0034366
          86     1.04955     1.04956  0.00339664
          87     1.07365     1.04984  0.00336885
          88     1.08811     1.05028  0.00335852
          89     1.04474     1.05021  0.00332135
          90     1.05491     1.05027  0.00328486
          91      1.0746     1.05053  0.00325963
          92     1.04436     1.05047  0.00322489
          93     1.01228     1.05006  0.00321625
          94     1.07873     1.05036  0.00319647
          95     1.03394     1.05019  0.00316749
          96     1.02603     1.04994  0.00314448
          97     1.03868     1.04982  0.00311421
          98     1.07451     1.05007   0.0030926
          99     1.06844     1.05026  0.00306692
         100     1.04671     1.05022  0.00303646
         101     1.03456     1.05007  0.00301035
         102     1.09301     1.05049  0.00301013
         103     1.05945     1.05058  0.00298216
         104     1.04605     1.05053   0.0029538
         105     1.04349     1.05047  0.00292643
         106     1.05516     1.05051  0.00289916
         107     1.04469     1.05045  0.00287258
         108     1.04436      1.0504  0.00284653
         109     1.06149      1.0505  0.00282224
         110     1.06487     1.05063   0.0027996
         111     1.07674     1.05087  0.00278424
         112     1.04069     1.05078  0.00276086
         113     1.03985     1.05068  0.00273812
         114     1.01855      1.0504  0.00272857
         115     1.03767     1.05029  0.00270709
         116     1.06746     1.05043   0.0026878
         117     1.07448     1.05064  0.00267267
         118     1.01293     1.05032  0.00266907
         119     1.00685     1.04995  0.00267151
         120      1.0745     1.05016  0.00265707
         121    0.992357     1.04968  0.00267771
         122     1.05043     1.04969  0.00265576
         123     1.08875     1.05001   0.0026531
         124      1.0558     1.05005  0.00263211
         125     1.01105     1.04974  0.00262948
         126     1.01121     1.04943  0.00262633
         127     1.07112     1.04961   0.0026112
         128     1.08023     1.04984  0.00260173
         129     1.03376     1.04972  0.00258455
         130     1.04089     1.04965  0.00256556
         131     1.05302     1.04968  0.00254611
         132      1.0431     1.04963   0.0025273
         133      1.0218     1.04942  0.00251695
         134     1.04302     1.04937  0.00249862
         135     1.06614     1.04949   0.0024832
         136     1.01936     1.04927  0.00247481
         137     1.10626     1.04969  0.00249146
         138     1.06283     1.04978  0.00247522
         139     1.05129      1.0498  0.00245744
         140     1.04441     1.04976  0.00244019
         141     1.04732     1.04974  0.00242294
         142     1.03476     1.04963  0.00240817
         143    0.983119     1.04917  0.00243584
         144     1.03542     1.04907   0.0024208
         145     1.03033     1.04894  0.00240755
         146      1.0487     1.04894  0.00239106
         147     1.10505     1.04932  0.00240506
         148     1.03916     1.04926  0.00238979
         149     1.01871     1.04905  0.00238253
         150     1.03338     1.04895  0.00236893
         151     1.01878     1.04875  0.00236166
         152      1.0284     1.04861  0.00234991
         153     1.08415     1.04884    0.002346
         154     1.06251     1.04893  0.00233244
         155      1.0789     1.04913   0.0023254
         156     1.01107     1.04888  0.00232325
         157     1.01858     1.04869  0.00231645
         158     1.03856     1.04863  0.00230268
         159     1.08587     1.04886  0.00230008
         160     1.04024     1.04881  0.00228633
