           1     1.14874     1.14874 3.22243e-09
           2     1.19202     1.17038   0.0153014
           3     1.17885      1.1732   0.0104581
           4     1.17088     1.17262  0.00785964
           5     1.17064     1.17222  0.00629774
           6     1.17467     1.17263  0.00526132
           7     1.17565     1.17306  0.00452727
           8     1.17674     1.17352  0.00398468
           9      1.1799     1.17423  0.00360446
          10     1.16321     1.17313  0.00340833
          11     1.16462     1.17236  0.00318507
          12     1.17067     1.17222  0.00292275
          13      1.1671     1.17182  0.00272429
          14     1.18001     1.17241  0.00259164
          15      1.1755     1.17261  0.00242705
          16     1.18204      1.1732  0.00234572
          17     1.15598     1.17219  0.00241665
          18     1.16814     1.17196  0.00229284
          19     1.16724     1.17171  0.00218561
          20       1.193     1.17278  0.00232113
          21     1.16974     1.17263  0.00221509
          22     1.18634     1.17326  0.00220027
          23     1.16335     1.17283  0.00214639
          24     1.18018     1.17313  0.00207872
          25     1.17618     1.17326  0.00199914
          26     1.15649     1.17261  0.00202355
          27     1.19332     1.17338   0.0020889
          28     1.18677     1.17386   0.0020683
          29     1.15673     1.17326  0.00207961
          30     1.18877     1.17378  0.00207354
          31     1.16999     1.17366  0.00201025
          32     1.17136     1.17359  0.00194871
          33     1.18632     1.17397  0.00192747
          34     1.19073     1.17447  0.00193273
          35     1.17186     1.17439  0.00187894
          36     1.17938     1.17453  0.00183186
          37     1.15666     1.17405  0.00184492
          38     1.17721     1.17413  0.00179824
          39     1.19348     1.17463  0.00181931
          40     1.15447     1.17412  0.00184229
          41     1.16605     1.17393  0.00180783
          42     1.18544      1.1742  0.00178545
          43     1.16474     1.17398  0.00175743
          44     1.17952     1.17411    0.001722
          45     1.18165     1.17427  0.00169188
          46     1.16892     1.17416   0.0016591
          47     1.17018     1.17407  0.00162596
          48     1.17052       1.174  0.00159377
          49     1.16391     1.17379  0.00157447
          50     1.17927      1.1739  0.00154679
          51      1.1893      1.1742  0.00154564
          52     1.15535     1.17384  0.00155784
          53     1.16713     1.17372  0.00153359
          54     1.17414     1.17372  0.00150522
          55     1.18123     1.17386  0.00148403
          56      1.1789     1.17395  0.00146025
          57     1.16606     1.17381  0.00144117
          58     1.16454     1.17365  0.00142516
          59     1.19271     1.17397  0.00143714
          60     1.16287     1.17379  0.00142506
          61     1.18698     1.17401  0.00141801
          62     1.14929     1.17361  0.00145009
          63     1.18492     1.17379  0.00143814
          64     1.20033      1.1742  0.00147426
          65     1.14543     1.17376  0.00151655
          66     1.17163     1.17373  0.00149392
          67     1.19751     1.17408   0.0015132
          68     1.17752     1.17413  0.00149179
          69     1.14969     1.17378  0.00151165
          70     1.15651     1.17353  0.00151006
          71      1.1834     1.17367  0.00149518
          72     1.20266     1.17407  0.00152767
          73     1.15919     1.17387  0.00152029
          74     1.18809     1.17406  0.00151185
          75     1.16115     1.17389  0.00150146
          76     1.16784     1.17381  0.00148381
          77     1.19373     1.17407  0.00148692
          78     1.14575      1.1737  0.00151154
          79     1.17564     1.17373  0.00149261
          80     1.16138     1.17357  0.00148191
          81     1.18072     1.17366  0.00146624
          82     1.15717     1.17346  0.00146209
          83     1.19776     1.17375   0.0014735
          84     1.17133     1.17373  0.00145624
          85     1.15644     1.17352  0.00145323
          86     1.17781     1.17357  0.00143719
          87     1.19113     1.17377  0.00143477
          88      1.1502     1.17351  0.00144326
          89     1.17705     1.17355  0.00142759
          90     1.18955     1.17372  0.00142277
          91     1.18379     1.17383  0.00141143
          92     1.15392     1.17362  0.00141259
          93     1.19857     1.17389  0.00142266
          94     1.13659     1.17349   0.0014618
          95     1.18056     1.17356   0.0014483
          96      1.1903     1.17374  0.00144368
          97     1.17282     1.17373  0.00142882
          98     1.18211     1.17381   0.0014168
          99     1.17272      1.1738  0.00140253
         100     1.18772     1.17394  0.00139539
         101     1.16878     1.17389  0.00138251
         102     1.16715     1.17383  0.00137054
         103     1.17775     1.17386  0.00135776
         104     1.16359     1.17376  0.00134829
         105     1.18069     1.17383  0.00133707
         106     1.17399     1.17383  0.00132445
         107     1.17449     1.17384  0.00131209
         108     1.15665     1.17368  0.00130955
         109     1.17073     1.17365  0.00129782
         110     1.20208     1.17391   0.0013115
         111     1.15245     1.17372  0.00131385
         112     1.18485     1.17382  0.00130587
         113     1.18336      1.1739  0.00129705
         114     1.18172     1.17397  0.00128748
         115     1.16127     1.17386  0.00128101
         116     1.19105     1.17401  0.00127851
         117     1.16669     1.17394  0.00126912
         118     1.16068     1.17383  0.00126333
         119     1.17639     1.17385   0.0012529
         120     1.17162     1.17384   0.0012426
         121     1.16555     1.17377  0.00123421
         122     1.17887     1.17381  0.00122481
         123     1.17505     1.17382  0.00121489
         124     1.16398     1.17374  0.00120768
         125     1.17744     1.17377  0.00119838
         126     1.17824      1.1738  0.00118939
         127     1.17048     1.17378  0.00118032
         128     1.17608      1.1738  0.00117123
         129     1.18061     1.17385  0.00116334
         130     1.17372     1.17385  0.00115439
         131     1.18317     1.17392  0.00114777
         132     1.16616     1.17386  0.00114058
         133     1.19926     1.17405  0.00114788
         134     1.17663     1.17407  0.00113948
         135     1.16689     1.17402  0.00113228
         136      1.1673     1.17397  0.00112503
         137     1.18543     1.17405  0.00111992
         138     1.16866     1.17401  0.00111248
         139     1.19291     1.17415  0.00111275
         140     1.17639     1.17416  0.00110492
         141     1.16255     1.17408  0.00110015
         142     1.18102     1.17413  0.00109349
         143     1.17984     1.17417  0.00108657
         144     1.17241     1.17416  0.00107909
         145     1.17208     1.17414  0.00107174
         146     1.18193      1.1742  0.00106573
         147     1.17302     1.17419  0.00105851
         148     1.16394     1.17412  0.00105362
         149     1.17606     1.17413  0.00104663
         150     1.16872      1.1741  0.00104027
         151     1.19386     1.17423  0.00104158
         152     1.16157     1.17415  0.00103806
         153      1.1716     1.17413   0.0010314
         154     1.20305     1.17432  0.00104167
         155     1.17398     1.17431  0.00103495
         156     1.15399     1.17418  0.00103648
         157     1.16036      1.1741  0.00103362
         158     1.17014     1.17407  0.00102738
         159     1.16857     1.17404   0.0010215
         160     1.19653     1.17418  0.00102474
         161     1.15827     1.17408  0.00102313
         162     1.16457     1.17402   0.0010185
         163     1.18356     1.17408  0.00101393
         164     1.16501     1.17402  0.00100926
         165     1.17878     1.17405  0.00100355
         166     1.15315     1.17393  0.00100538
         167     1.19118     1.17403  0.00100465
         168     1.16434     1.17397  0.00100032
         169     1.19104     1.17407 0.000999493
         170     1.16741     1.17403 0.000994382
         171     1.16873       1.174 0.000989049
         172     1.16438     1.17395  0.00098488
         173     1.18897     1.17403  0.00098301
         174     1.17413     1.17403 0.000977361
         175     1.16519     1.17398 0.000973082
         176     1.19853     1.17412 0.000977494
         177     1.16551     1.17407 0.000973182
         178     1.17657     1.17409 0.000967815
         179     1.17419     1.17409 0.000962409
         180     1.17143     1.17407 0.000957175
