           1      1.1564      1.1564 5.03277e-09
           2     1.20012     1.17826   0.0154556
           3     1.18685     1.18112   0.0105658
           4      1.1791     1.18062  0.00793651
           5     1.17887     1.18027  0.00635689
           6     1.18252     1.18064  0.00530847
           7     1.18279     1.18095  0.00455899
           8     1.18528     1.18149  0.00402108
           9     1.18752     1.18216  0.00362959
          10     1.16908     1.18085  0.00349424
          11     1.17427     1.18025  0.00322746
          12     1.17588     1.17989  0.00297905
          13     1.17594     1.17959  0.00276538
          14     1.19842     1.18093  0.00287652
          15     1.17828     1.18075  0.00269017
          16     1.17181      1.1802   0.0025794
          17     1.17066     1.17963  0.00248793
          18     1.19808     1.18066  0.00255215
          19     1.15925     1.17953  0.00265497
          20     1.18278     1.17969  0.00252718
          21     1.18471     1.17993  0.00241808
          22       1.194     1.18057  0.00239119
          23     1.18632     1.18082  0.00230026
          24     1.18233     1.18089  0.00220528
          25     1.16741     1.18035  0.00218197
          26     1.16846     1.17989  0.00214544
          27     1.21205     1.18108  0.00237375
          28     1.18723      1.1813   0.0022991
          29     1.18012     1.18126  0.00222018
          30     1.17219     1.18096  0.00216666
          31     1.18433     1.18107  0.00209949
          32      1.1808     1.18106   0.0020339
          33     1.17152     1.18077   0.0019927
          34     1.20697     1.18154  0.00207776
          35     1.16627      1.1811  0.00206371
          36     1.20161     1.18167  0.00208353
          37     1.17563     1.18151   0.0020336
          38     1.17613     1.18137  0.00198501
          39     1.18721     1.18152  0.00193975
          40     1.19852     1.18194  0.00193726
          41     1.16117     1.18144  0.00195512
          42     1.18337     1.18148  0.00190911
          43      1.1896     1.18167  0.00187401
          44     1.17155     1.18144  0.00184548
          45     1.16825     1.18115  0.00182762
          46     1.18001     1.18112  0.00178805
          47     1.18044     1.18111  0.00175007
          48     1.17754     1.18103  0.00171518
          49     1.17894     1.18099  0.00168071
          50     1.18302     1.18103  0.00164759
          51     1.18656     1.18114  0.00161885
          52     1.16974     1.18092   0.0016025
          53      1.2125     1.18152  0.00167938
          54     1.15177     1.18097  0.00173627
          55     1.19362      1.1812  0.00171988
          56     1.17792     1.18114  0.00169016
          57     1.18419     1.18119  0.00166136
          58     1.19311      1.1814  0.00164537
          59     1.17231     1.18124  0.00162466
          60     1.18611     1.18132  0.00159961
          61     1.17765     1.18126  0.00157453
          62     1.18876     1.18138  0.00155377
          63     1.20603     1.18178  0.00157759
          64     1.15738     1.18139  0.00159834
          65     1.18556     1.18146  0.00157503
          66     1.17278     1.18133  0.00155664
          67     1.18201     1.18134  0.00153344
