           1    -6.63692    -6.63692 5.46291e-08
           2    -6.67891    -6.65791   0.0148458
           3     -6.6671    -6.66097   0.0102082
           4    -6.66024    -6.66079  0.00765782
           5    -6.65847    -6.66033  0.00614037
           6    -6.66141    -6.66051  0.00511965
           7    -6.65928    -6.66033  0.00439125
           8    -6.66578    -6.66101  0.00389469
           9    -6.66408    -6.66135  0.00347681
          10    -6.64563    -6.65978  0.00346651
          11    -6.65824    -6.65964   0.0031542
          12    -6.64712     -6.6586  0.00305917
          13    -6.65493    -6.65832   0.0028368
          14    -6.69061    -6.66062  0.00344686
          15    -6.64122    -6.65933   0.0034513
          16    -6.64104    -6.65819   0.0034196
          17    -6.68209    -6.65959  0.00349568
          18    -6.67664    -6.66054  0.00342739
          19    -6.65018    -6.65999  0.00329006
          20    -6.65996    -6.65999  0.00312556
          21    -6.65607    -6.65981   0.0029823
          22    -6.66541    -6.66006  0.00285762
          23    -6.67721    -6.66081  0.00282897
          24    -6.66224    -6.66087  0.00271172
          25     -6.6871    -6.66192  0.00279896
          26    -6.64414    -6.66123  0.00277355
          27    -6.67012    -6.66156   0.0026903
          28    -6.66215    -6.66158   0.0025943
          29    -6.66117    -6.66157  0.00250488
          30    -6.65444    -6.66133  0.00243263
          31    -6.66119    -6.66133  0.00235416
          32    -6.66625    -6.66148  0.00228562
          33    -6.65816    -6.66138  0.00221858
          34    -6.65676    -6.66124  0.00215749
          35    -6.68203    -6.66184  0.00217609
          36    -6.66163    -6.66183  0.00211565
          37    -6.66881    -6.66202  0.00206686
          38    -6.67433    -6.66234  0.00203769
          39    -6.66166    -6.66233  0.00198552
          40     -6.6389    -6.66174  0.00202039
          41     -6.6605    -6.66171  0.00197134
          42    -6.64908    -6.66141   0.0019472
          43    -6.66658    -6.66153  0.00190563
          44    -6.66537    -6.66162  0.00186431
          45     -6.6692    -6.66179  0.00183048
          46    -6.64222    -6.66136  0.00183943
          47    -6.66188    -6.66137  0.00180033
          48    -6.65962    -6.66134  0.00176319
          49    -6.66428     -6.6614  0.00172823
          50    -6.66534    -6.66147  0.00169547
          51    -6.65726    -6.66139  0.00166424
          52     -6.6614    -6.66139  0.00163223
          53    -6.64219    -6.66103  0.00164113
          54     -6.6805    -6.66139  0.00164986
          55    -6.62774    -6.66078  0.00172957
          56     -6.6553    -6.66068  0.00170145
          57    -6.66796    -6.66081  0.00167639
          58    -6.65701    -6.66074  0.00164876
          59    -6.65495    -6.66064  0.00162374
          60    -6.65121    -6.66049  0.00160426
          61     -6.6639    -6.66054  0.00157894
          62    -6.66191    -6.66057  0.00155363
          63    -6.66971    -6.66071  0.00153573
          64    -6.67836    -6.66099  0.00153631
          65    -6.63805    -6.66063  0.00155267
          66    -6.67944    -6.66092  0.00155508
          67    -6.65364    -6.66081  0.00153566
          68    -6.65837    -6.66077  0.00151349
          69    -6.66571    -6.66085  0.00149324
          70    -6.67424    -6.66104  0.00148413
          71    -6.66777    -6.66113  0.00146625
          72    -6.65784    -6.66109  0.00144659
          73     -6.6692     -6.6612  0.00143104
          74    -6.67523    -6.66139   0.0014242
          75    -6.66967     -6.6615  0.00140949
          76    -6.65609    -6.66143  0.00139274
          77    -6.66099    -6.66142  0.00137466
          78    -6.67348    -6.66158  0.00136571
          79    -6.64544    -6.66137  0.00136361
          80    -6.66011    -6.66135  0.00134666
          81    -6.69031    -6.66171  0.00137665
          82    -6.63269    -6.66136  0.00140462
          83    -6.66004    -6.66134  0.00138778
          84    -6.68063    -6.66157  0.00139014
          85    -6.66822    -6.66165  0.00137598
          86    -6.64105    -6.66141  0.00138067
          87    -6.70592    -6.66192   0.0014565
          88    -6.64628    -6.66174  0.00145076
          89    -6.64829    -6.66159  0.00144231
          90     -6.6702    -6.66169  0.00142945
          91     -6.6622    -6.66169  0.00141375
          92     -6.6725    -6.66181  0.00140326
          93    -6.66257    -6.66182  0.00138819
          94    -6.66534    -6.66186  0.00137393
          95     -6.6703    -6.66195  0.00136233
          96    -6.65586    -6.66188  0.00134962
          97    -6.64692    -6.66173  0.00134449
          98    -6.66647    -6.66178  0.00133164
          99    -6.65788    -6.66174  0.00131877
         100    -6.63837     -6.6615  0.00132613
         101    -6.67772    -6.66167  0.00132269
         102    -6.67356    -6.66178  0.00131485
         103     -6.6689    -6.66185   0.0013039
         104    -6.64945    -6.66173  0.00129681
         105     -6.6818    -6.66192  0.00129846
         106    -6.64856     -6.6618  0.00129232
         107    -6.67201    -6.66189  0.00128376
         108    -6.63994    -6.66169  0.00128786
         109     -6.6719    -6.66178  0.00127945
         110    -6.66529    -6.66181  0.00126821
         111    -6.63485    -6.66157  0.00127985
         112    -6.67061    -6.66165  0.00127096
         113    -6.64937    -6.66154  0.00126435
         114    -6.64133    -6.66137  0.00126564
         115    -6.69495    -6.66166  0.00128788
         116    -6.63871    -6.66146  0.00129189
         117    -6.66685    -6.66151  0.00128167
         118    -6.66927    -6.66157  0.00127249
         119    -6.65712    -6.66153  0.00126235
         120    -6.65602    -6.66149  0.00125266
         121    -6.68126    -6.66165  0.00125292
         122    -6.65275    -6.66158  0.00124478
         123    -6.64956    -6.66148  0.00123848
         124     -6.6602    -6.66147  0.00122854
         125    -6.66869    -6.66153  0.00122007
         126    -6.65634    -6.66149  0.00121108
         127    -6.68021    -6.66163  0.00121048
         128    -6.64421     -6.6615  0.00120865
         129    -6.67107    -6.66157  0.00120156
         130    -6.66992    -6.66164  0.00119403
         131    -6.65068    -6.66155  0.00118784
         132    -6.64766    -6.66145  0.00118349
         133    -6.66885     -6.6615   0.0011759
         134    -6.66585    -6.66154  0.00116757
         135    -6.64531    -6.66142  0.00116509
         136     -6.6511    -6.66134    0.001159
         137    -6.67708    -6.66146  0.00115622
         138    -6.67909    -6.66158  0.00115488
         139    -6.64025    -6.66143  0.00115673
         140    -6.66323    -6.66144  0.00114854
         141    -6.65586     -6.6614  0.00114107
         142    -6.68563    -6.66157  0.00114572
         143    -6.64997    -6.66149  0.00114058
         144    -6.63469    -6.66131  0.00114775
         145    -6.67927    -6.66143   0.0011465
         146    -6.64982    -6.66135   0.0011414
         147    -6.65823    -6.66133  0.00113383
         148    -6.65645     -6.6613  0.00112665
         149    -6.66804    -6.66134     0.00112
         150     -6.6696     -6.6614  0.00111388
         151     -6.6509    -6.66133  0.00110868
         152    -6.65366    -6.66128  0.00110253
         153    -6.65488    -6.66123  0.00109612
         154     -6.6701    -6.66129  0.00109051
         155    -6.67317    -6.66137  0.00108616
         156    -6.67413    -6.66145  0.00108227
         157    -6.64431    -6.66134  0.00108087
         158    -6.66452    -6.66136  0.00107422
         159    -6.63389    -6.66119  0.00108127
         160    -6.67311    -6.66126  0.00107707
         161    -6.67095    -6.66132  0.00107206
         162    -6.67521    -6.66141  0.00106887
         163    -6.66109    -6.66141  0.00106231
         164     -6.6381    -6.66127   0.0010653
         165    -6.68536    -6.66141   0.0010688
         166    -6.64326     -6.6613  0.00106794
         167     -6.6688    -6.66135  0.00106249
         168    -6.65615    -6.66132  0.00105662
         169     -6.6639    -6.66133  0.00105047
         170     -6.6699    -6.66138   0.0010455
         171    -6.65673    -6.66135  0.00103974
         172    -6.65457    -6.66131  0.00103445
         173    -6.67766    -6.66141  0.00103277
         174    -6.65886    -6.66139  0.00102694
         175     -6.6535    -6.66135  0.00102206
         176    -6.66113    -6.66135  0.00101626
         177    -6.66075    -6.66135  0.00101052
         178    -6.67058     -6.6614  0.00100618
         179    -6.64942    -6.66133  0.00100278
         180    -6.65508     -6.6613 0.000997808
         181    -6.67374    -6.66136 0.000994663
         182    -6.65598    -6.66133 0.000989638
         183    -6.64877    -6.66127 0.000986607
         184    -6.68078    -6.66137 0.000986928
         185    -6.67218    -6.66143 0.000983321
         186    -6.65861    -6.66142 0.000978151
         187    -6.66491    -6.66143 0.000973099
         188    -6.63849    -6.66131 0.000975546
         189    -6.66921    -6.66135 0.000971279
         190    -6.65521    -6.66132 0.000966705
         191    -6.66646    -6.66135 0.000962018
         192    -6.66813    -6.66138 0.000957656
         193    -6.68824    -6.66152 0.000962753
         194    -6.64397    -6.66143 0.000962031
         195    -6.65021    -6.66137 0.000958817
         196     -6.6899    -6.66152 0.000964907
         197    -6.66372    -6.66153 0.000960074
         198    -6.63556     -6.6614 0.000964143
         199    -6.65475    -6.66137 0.000959878
         200    -6.66842     -6.6614 0.000955726
