           1    -6.61472    -6.61472 2.63086e-08
           2    -6.65801    -6.63637   0.0153063
           3    -6.64601    -6.63958   0.0105363
           4    -6.63998    -6.63968  0.00790271
           5     -6.6386    -6.63947   0.0063251
           6    -6.63852    -6.63931  0.00527288
           7     -6.6363    -6.63888  0.00453709
           8    -6.64741    -6.63994  0.00409338
           9    -6.63969    -6.63992  0.00363866
          10    -6.62177     -6.6381  0.00369988
          11    -6.64198    -6.63845  0.00338025
          12    -6.62104      -6.637  0.00339594
          13    -6.64526    -6.63764  0.00319354
          14    -6.65357    -6.63878  0.00316165
          15    -6.65559     -6.6399  0.00314326
          16    -6.62144    -6.63874  0.00315131
          17    -6.64773    -6.63927  0.00300994
          18    -6.64687    -6.63969  0.00287217
          19    -6.63656    -6.63953  0.00272572
          20    -6.64915    -6.64001  0.00263158
          21    -6.64672    -6.64033  0.00252558
          22     -6.6263    -6.63969  0.00249001
          23    -6.63472    -6.63948  0.00239112
          24    -6.64612    -6.63975  0.00230748
          25    -6.64665    -6.64003   0.0022316
          26    -6.62073    -6.63929  0.00226585
          27    -6.65222    -6.63976  0.00223199
          28    -6.63853    -6.63972  0.00215271
          29    -6.63054     -6.6394  0.00210164
          30    -6.63835    -6.63937  0.00203188
          31    -6.64846    -6.63966  0.00198737
          32    -6.65551    -6.64016  0.00198601
          33    -6.63816     -6.6401  0.00192675
          34    -6.65279    -6.64047  0.00190589
          35    -6.63308    -6.64026  0.00186311
          36    -6.62945    -6.63996  0.00183541
          37    -6.66594    -6.64066  0.00191546
          38    -6.64889    -6.64088  0.00187724
          39    -6.64031    -6.64086  0.00182916
          40    -6.64443    -6.64095   0.0017856
          41      -6.672    -6.64171  0.00189582
          42    -6.61458    -6.64106  0.00195763
          43    -6.65198    -6.64132  0.00192848
          44    -6.62808    -6.64102  0.00190798
          45    -6.63118     -6.6408  0.00187806
          46    -6.62313    -6.64041   0.0018761
          47    -6.63659    -6.64033  0.00183794
          48    -6.63969    -6.64032   0.0017997
          49    -6.65182    -6.64055  0.00177821
          50    -6.64813     -6.6407  0.00174909
          51    -6.62789    -6.64045  0.00173276
          52    -6.65291    -6.64069  0.00171593
          53    -6.62184    -6.64034  0.00172004
          54    -6.63627    -6.64026  0.00168983
          55    -6.63771    -6.64022  0.00165974
          56    -6.66082    -6.64058  0.00167041
          57    -6.64635    -6.64068  0.00164416
          58    -6.63897    -6.64066  0.00161608
          59    -6.63751     -6.6406  0.00158957
          60    -6.62598    -6.64036  0.00158165
          61    -6.66372    -6.64074  0.00160143
          62    -6.63458    -6.64064  0.00157868
          63     -6.6455    -6.64072  0.00155551
          64    -6.64338    -6.64076  0.00153176
          65    -6.64542    -6.64083  0.00150987
          66    -6.64606    -6.64091  0.00148907
          67    -6.63634    -6.64084  0.00146841
          68     -6.6424    -6.64087  0.00144699
          69    -6.63723    -6.64081  0.00142698
          70    -6.64217    -6.64083  0.00140673
          71    -6.63519    -6.64075  0.00138916
          72    -6.64067    -6.64075  0.00136987
          73    -6.63896    -6.64073  0.00135132
          74    -6.63748    -6.64068  0.00133377
          75    -6.64691    -6.64077  0.00131857
          76    -6.62654    -6.64058  0.00131444
          77     -6.6636    -6.64088  0.00133092
          78    -6.62342    -6.64065  0.00133255
          79    -6.62468    -6.64045  0.00133093
          80    -6.64116    -6.64046  0.00131433
          81    -6.66295    -6.64074  0.00132711
          82    -6.64151    -6.64075  0.00131096
          83    -6.63618    -6.64069  0.00129631
          84     -6.6311    -6.64058   0.0012859
          85    -6.63097    -6.64047  0.00127573
          86    -6.62441    -6.64028  0.00127449
          87    -6.65172    -6.64041  0.00126661
          88    -6.64714    -6.64049  0.00125452
          89     -6.6318    -6.64039  0.00124421
          90    -6.65117    -6.64051  0.00123615
          91    -6.65123    -6.64063  0.00122816
          92    -6.64571    -6.64068  0.00121606
          93    -6.62128    -6.64047  0.00122075
          94    -6.63543    -6.64042  0.00120894
          95    -6.63314    -6.64034  0.00119864
          96    -6.66658    -6.64062  0.00121691
          97    -6.63697    -6.64058  0.00120494
          98    -6.63374    -6.64051  0.00119467
          99    -6.63899    -6.64049   0.0011827
         100    -6.64935    -6.64058  0.00117418
         101    -6.63388    -6.64052  0.00116443
         102    -6.66169    -6.64072  0.00117137
         103    -6.61355    -6.64046  0.00118932
         104    -6.65057    -6.64056  0.00118186
         105    -6.65382    -6.64068  0.00117733
         106    -6.61875    -6.64048  0.00118427
         107    -6.64773    -6.64054  0.00117514
         108    -6.64948    -6.64063  0.00116717
         109    -6.65586    -6.64077  0.00116479
         110    -6.64991    -6.64085  0.00115717
         111     -6.6405    -6.64085  0.00114675
         112    -6.63887    -6.64083  0.00113664
         113    -6.62342    -6.64068  0.00113698
         114    -6.65646    -6.64081  0.00113541
         115    -6.65616    -6.64095  0.00113335
         116    -6.63602     -6.6409  0.00112438
         117    -6.63513    -6.64086  0.00111585
         118    -6.65063    -6.64094  0.00110946
         119    -6.64895    -6.64101  0.00110218
         120    -6.63697    -6.64097  0.00109351
         121    -6.65263    -6.64107  0.00108871
         122    -6.63112    -6.64099  0.00108283
         123    -6.63823    -6.64096  0.00107426
