           1     -6.5926     -6.5926 2.63561e-08
           2    -6.63721    -6.61491   0.0157746
           3     -6.6249    -6.61824   0.0108626
           4     -6.6197     -6.6186  0.00815314
           5    -6.61882    -6.61865  0.00652263
           6    -6.61426    -6.61792  0.00547634
           7    -6.61474    -6.61746  0.00471275
           8    -6.63003    -6.61903  0.00437769
           9    -6.61534    -6.61862  0.00391047
          10    -6.60168    -6.61693  0.00386922
          11    -6.63248    -6.61834  0.00376685
          12    -6.59766    -6.61662  0.00382711
          13    -6.63056    -6.61769  0.00367991
          14    -6.61655    -6.61761  0.00341797
          15    -6.61965    -6.61774  0.00319281
          16    -6.64235    -6.61928  0.00334314
          17    -6.61082    -6.61878  0.00318329
          18    -6.58785    -6.61707  0.00343927
          19    -6.64119    -6.61834   0.0034848
          20    -6.62573    -6.61871  0.00333011
          21    -6.62326    -6.61892  0.00317857
          22    -6.61727    -6.61885  0.00303498
          23    -6.60897    -6.61842  0.00293326
          24     -6.6318    -6.61898  0.00286359
          25    -6.60528    -6.61843  0.00280095
          26     -6.6378    -6.61917  0.00279054
          27    -6.60479    -6.61864  0.00273759
          28    -6.60041    -6.61799  0.00271611
          29    -6.61858    -6.61801  0.00262253
          30    -6.62344    -6.61819  0.00254135
          31     -6.6113    -6.61797  0.00246906
          32    -6.62181    -6.61809  0.00239482
          33    -6.63275    -6.61853  0.00236313
          34    -6.59364     -6.6178  0.00240439
          35    -6.61234    -6.61764  0.00234076
          36    -6.65096    -6.61857  0.00245183
          37    -6.61534    -6.61848  0.00238711
          38    -6.60679    -6.61817  0.00234404
          39    -6.62983    -6.61847  0.00230291
          40    -6.62391    -6.61861  0.00224934
          41    -6.62187    -6.61869  0.00219589
          42    -6.61595    -6.61862  0.00214457
          43    -6.62116    -6.61868  0.00209551
          44    -6.61519     -6.6186  0.00204939
          45    -6.61048    -6.61842  0.00201178
          46    -6.61596    -6.61837  0.00196876
          47    -6.62542    -6.61852  0.00193258
          48    -6.63247    -6.61881  0.00191406
          49    -6.59641    -6.61835   0.0019288
          50    -6.63728    -6.61873  0.00192703
          51     -6.6031    -6.61843  0.00191346
          52    -6.63146    -6.61868  0.00189302
          53    -6.62024    -6.61871  0.00185753
          54    -6.59858    -6.61833  0.00186014
          55    -6.60822    -6.61815  0.00183539
          56    -6.60617    -6.61794  0.00181503
          57    -6.62143      -6.618  0.00178422
          58    -6.59658    -6.61763  0.00179126
          59    -6.61204    -6.61753   0.0017634
          60    -6.61299    -6.61746  0.00173563
          61    -6.61082    -6.61735  0.00171059
          62    -6.62227    -6.61743  0.00168484
          63    -6.61461    -6.61738  0.00165869
          64    -6.61948    -6.61742  0.00163309
          65    -6.62702    -6.61756  0.00161463
          66    -6.61573    -6.61754  0.00159041
          67    -6.62644    -6.61767  0.00157222
          68    -6.61549    -6.61764  0.00154942
          69    -6.60012    -6.61738  0.00154763
          70    -6.62707    -6.61752   0.0015317
          71    -6.61348    -6.61746  0.00151118
          72    -6.62399    -6.61755  0.00149291
          73    -6.61982    -6.61759  0.00147279
          74    -6.60551    -6.61742   0.0014619
          75     -6.6238    -6.61751  0.00144488
          76    -6.63209     -6.6177  0.00143856
          77    -6.61858    -6.61771  0.00141992
          78    -6.59838    -6.61746  0.00142319
          79    -6.61191    -6.61739   0.0014069
          80    -6.62715    -6.61751  0.00139459
          81    -6.62363    -6.61759  0.00137942
          82    -6.60454    -6.61743  0.00137175
          83    -6.63328    -6.61762  0.00136845
          84    -6.61493    -6.61759  0.00135253
          85    -6.59519    -6.61733  0.00136205
          86    -6.63638    -6.61755   0.0013641
          87    -6.60187    -6.61737  0.00136028
          88    -6.62519    -6.61746  0.00134773
          89    -6.61621    -6.61744  0.00133266
          90    -6.60727    -6.61733  0.00132263
          91    -6.64592    -6.61764   0.0013449
          92     -6.6118    -6.61758  0.00133179
          93    -6.61943     -6.6176  0.00131761
          94    -6.62222    -6.61765  0.00130452
          95     -6.6199    -6.61767    0.001291
          96    -6.63159    -6.61782  0.00128567
          97    -6.60596     -6.6177  0.00127821
          98    -6.61866    -6.61771   0.0012652
          99    -6.64838    -6.61802  0.00128982
         100    -6.62433    -6.61808  0.00127846
         101    -6.58833    -6.61778   0.0012993
         102    -6.63416    -6.61794  0.00129644
         103    -6.62064    -6.61797  0.00128412
         104    -6.60591    -6.61785    0.001277
         105    -6.62076    -6.61788  0.00126514
         106    -6.63623    -6.61806  0.00126499
         107    -6.60871    -6.61797  0.00125618
         108    -6.62265    -6.61801   0.0012453
         109    -6.60054    -6.61785  0.00124414
         110    -6.63849    -6.61804   0.0012469
         111     -6.6092    -6.61796  0.00123821
         112    -6.60897    -6.61788  0.00122976
         113    -6.61575    -6.61786  0.00121902
         114    -6.61419    -6.61783  0.00120875
         115    -6.62909    -6.61793  0.00120219
         116    -6.62019    -6.61794  0.00119199
         117    -6.63398    -6.61808  0.00118966
         118    -6.59997    -6.61793  0.00118944
         119    -6.62224    -6.61796  0.00117999
         120     -6.6237    -6.61801  0.00117113
         121    -6.62544    -6.61807  0.00116306
         122    -6.62012    -6.61809  0.00115364
         123    -6.61621    -6.61808  0.00114437
         124    -6.63433    -6.61821  0.00114262
         125    -6.61068    -6.61815  0.00113506
         126    -6.63131    -6.61825  0.00113085
         127    -6.62424     -6.6183  0.00112293
         128    -6.61967    -6.61831  0.00111421
         129    -6.61955    -6.61832  0.00110561
         130     -6.6098    -6.61825  0.00109905
         131    -6.61797    -6.61825  0.00109066
         132    -6.64708    -6.61847  0.00110404
         133    -6.60332    -6.61836   0.0011016
         134    -6.60036    -6.61822  0.00110153
         135    -6.62514    -6.61827  0.00109457
         136    -6.64128    -6.61844  0.00109951
         137      -6.624    -6.61848  0.00109224
         138    -6.60153    -6.61836   0.0010912
         139    -6.62137    -6.61838  0.00108357
         140    -6.61132    -6.61833    0.001077
         141    -6.61841    -6.61833  0.00106937
         142    -6.61794    -6.61833  0.00106184
         143     -6.6334    -6.61843  0.00105963
         144    -6.59276    -6.61826  0.00106716
         145    -6.61668    -6.61824  0.00105986
         146    -6.63357    -6.61835  0.00105779
         147     -6.6109     -6.6183   0.0010518
         148    -6.61643    -6.61829  0.00104477
         149      -6.598    -6.61815  0.00104659
         150    -6.61479    -6.61813  0.00103985
         151    -6.63251    -6.61822  0.00103732
         152    -6.63171    -6.61831  0.00103429
         153    -6.61137    -6.61827  0.00102852
         154    -6.61358    -6.61824  0.00102229
         155    -6.61573    -6.61822  0.00101582
         156     -6.6213    -6.61824   0.0010095
         157    -6.62877    -6.61831   0.0010053
         158    -6.61928    -6.61831 0.000998957
         159    -6.61118    -6.61827  0.00099368
         160    -6.61411    -6.61824  0.00098781
         161    -6.60168    -6.61814 0.000987017
         162    -6.63598    -6.61825 0.000987053
         163    -6.62668     -6.6183 0.000982353
         164    -6.59602    -6.61816 0.000985713
         165    -6.62751    -6.61822 0.000981364
         166    -6.63874    -6.61835 0.000983205
         167    -6.61186    -6.61831 0.000978084
         168    -6.62007    -6.61832 0.000972318
         169    -6.61848    -6.61832 0.000966565
         170    -6.60227    -6.61822 0.000965477
         171    -6.63842    -6.61834 0.000967026
         172    -6.63404    -6.61843   0.0009657
         173    -6.61747    -6.61843 0.000960134
         174    -6.63217    -6.61851 0.000957861
         175    -6.62249    -6.61853 0.000952658
         176    -6.61603    -6.61851 0.000947352
         177    -6.62786    -6.61857  0.00094347
         178    -6.62873    -6.61862 0.000939897
         179    -6.61165    -6.61859 0.000935454
         180    -6.62696    -6.61863 0.000931412
         181     -6.6326    -6.61871 0.000929457
         182    -6.61494    -6.61869 0.000924581
         183     -6.6325    -6.61876 0.000922605
         184    -6.62012    -6.61877  0.00091762
         185    -6.61032    -6.61873 0.000913797
         186    -6.61363     -6.6187 0.000909296
         187     -6.6183     -6.6187 0.000904436
         188    -6.62593    -6.61873 0.000900443
         189    -6.62086    -6.61875 0.000895749
         190    -6.60528    -6.61868 0.000893833
         191    -6.61316    -6.61865 0.000889619
         192    -6.63696    -6.61874 0.000890082
         193    -6.59456    -6.61862 0.000894248
         194    -6.62672    -6.61866 0.000890614
         195    -6.65188    -6.61883 0.000902191
         196    -6.60532    -6.61876 0.000900218
         197    -6.61527    -6.61874 0.000895822
         198    -6.62048    -6.61875 0.000891341
         199    -6.62077    -6.61876 0.000886919
         200    -6.62121    -6.61877 0.000882569
